UF,COD,MUN,POUPANCA
AM,1303304,Novo Aripuanã,2703.9917342894
AM,1303403,Parintins,51390.776485481
AM,1303502,Pauini,2398.6158187036
AM,1303536,Presidente Figueiredo,15897.7420986746
AM,1303569,Rio Preto da Eva,7231.8649646467
AM,1303601,Santa Isabel do Rio Negro,
AM,1303700,Santo Antônio do Içá,4846.0195029887
AM,1303809,São Gabriel da Cachoeira,15037.6850006906
AM,1303908,São Paulo de Olivença,5675.425906413
AM,1303957,São Sebastião do Uatumã,
AM,1304005,Silves,
AM,1304062,Tabatinga,31925.5526487399
AM,1304104,Tapauá,3388.7216789677
AM,1304203,Tefé,42123.8323749496
AM,1304237,Tonantins,
AM,1304260,Uarini,
AM,1304302,Urucará,2700.3685004286
AM,1304401,Urucurituba,
AP,1600055,Serra do Navio,
AP,1600105,Amapá,2562.895630897
AP,1600154,Pedra Branca do Amaparí,2382.4720607321
AP,1600204,Calçoene,
AP,1600212,Cutias,
AP,1600238,Ferreira Gomes,
AP,1600253,Itaubal,
AP,1600279,Laranjal do Jari,32910.7204801001
AP,1600303,Macapá,469767.002318463
AP,1600402,Mazagão,1873.3939209143
AP,1600501,Oiapoque,15417.2245449572
AP,1600535,Porto Grande,5041.8145804591
AP,1600550,Pracuúba,
AP,1600600,Santana,74103.7873485032
AP,1600709,Tartarugalzinho,
AP,1600808,Vitória do Jari,
BA,2900108,Abaíra,
BA,2900207,Abaré,4701.4248634351
BA,2900306,Acajutiba,15808.2900944881
BA,2900355,Adustina,
BA,2900405,Água Fria,
BA,2900504,Érico Cardoso,
BA,2900603,Aiquara,
BA,2900702,Alagoinhas,292739.444053845
BA,2900801,Alcobaça,17461.72471143
BA,2900900,Almadina,
BA,2901007,Amargosa,90499.7720132047
BA,2901106,Amélia Rodrigues,25002.8859123234
BA,2901155,América Dourada,
BA,2901205,Anagé,18367.6001196022
BA,2901304,Andaraí,8993.1075246908
BA,2901353,Andorinha,
BA,2901403,Angical,9027.535028173
BA,2901502,Anguera,
BA,2901601,Antas,
BA,2901700,Antônio Cardoso,
BA,2901809,Antônio Gonçalves,
BA,2901908,Aporá,
BA,2901957,Apuarema,
BA,2902005,Aracatu,
BA,2902054,Araças,
BA,2902104,Araci,45364.6582068429
BA,2902203,Aramari,
BA,2902252,Arataca,
BA,2902302,Aratuípe,
BA,2902401,Aurelino Leal,
BA,2902500,Baianópolis,13522.1187856327
BA,2902609,Baixa Grande,38244.3281151411
BA,2902658,Banzaê,
BA,2902708,Barra,36943.3145743229
BA,2902807,Barra da Estiva,74067.3791205085
BA,2902906,Barra do Choça,21523.476190568
BA,2903003,Barra do Mendes,27008.9516225672
BA,2903102,Barra do Rocha,
BA,2903201,Barreiras,241043.457478842
BA,2903235,Barro Alto,
BA,2903276,Barrocas,
BA,2903300,Governador Lomanto Júnior,
BA,2903409,Belmonte,13899.553345223
BA,2903508,Belo Campo,34003.5916835094
BA,2903607,Biritinga,
BA,2903706,Boa Nova,
BA,2903805,Boa Vista do Tupim,
BA,2903904,Bom Jesus da Lapa,107460.545374544
BA,2903953,Bom Jesus da Serra,
BA,2904001,Boninal,
BA,2904050,Bonito,3595.0219907091
BA,2904100,Boquira,28948.2253070872
BA,2904209,Botuporã,37960.0939288335
BA,2904308,Brejões,
BA,2904407,Brejolândia,
BA,2904506,Brotas de Macaúbas,
BA,2904605,Brumado,206221.885639013
BA,2904704,Buerarema,9016.6473876233
BA,2904753,Buritirama,3769.3463119886
BA,2904803,Caatiba,
BA,2904852,Cabaceiras do Paraguaçu,
BA,2904902,Cachoeira,46215.5432421022
BA,2905008,Caculé,46103.9851797606
BA,2905107,Caém,
BA,2905156,Caetanos,
BA,2905206,Caetité,193871.86791236
BA,2905305,Cafarnaum,24582.3829549729
BA,2905404,Cairu,
BA,2905503,Caldeirão Grande,
BA,2905602,Camacan,47213.956594374
BA,2905701,Camaçari,430827.89843695
BA,2905800,Camamu,21784.253208207
BA,2905909,Campo Alegre de Lourdes,
BA,2906006,Campo Formoso,71369.9604863629
BA,2906105,Canápolis,
BA,2906204,Canarana,
BA,2906303,Canavieiras,24333.223387578
BA,2906402,Candeal,
BA,2906501,Candeias,174908.690140251
BA,2906600,Candiba,21496.8766398697
BA,2906709,Cândido Sales,25630.7777704559
BA,2906808,Cansanção,35347.082948774
BA,2906824,Canudos,
BA,2906857,Capela do Alto Alegre,
BA,2906873,Capim Grosso,73802.7710395094
BA,2906899,Caraíbas,
BA,2906907,Caravelas,
BA,2907004,Cardeal da Silva,
BA,2907103,Carinhanha,37816.8442742924
BA,2907202,Casa Nova,64206.4014212666
BA,2907301,Castro Alves,64359.5656367648
BA,2907400,Catolândia,
BA,2907509,Catu,79504.9697607927
BA,2907558,Caturama,
BA,2907608,Central,
BA,2907707,Chorrochó,8644.9432342491
BA,2907806,Cícero Dantas,80056.9355960903
BA,2907905,Cipó,13146.3507998591
BA,2908002,Coaraci,32507.2311018677
BA,2908101,Cocos,
BA,2908200,Conceição da Feira,
BA,2908309,Conceição do Almeida,7222.3039326063
BA,2908408,Conceição do Coité,124682.070376446
BA,2908507,Conceição do Jacuípe,57352.2663528671
BA,2908606,Conde,9925.648989001
BA,2908705,Condeúba,54546.730437817
BA,2908804,Contendas do Sincorá,
BA,2908903,Coração de Maria,13031.431150058
BA,2909000,Cordeiros,
BA,2909109,Coribe,7909.0382287297
BA,2909208,Coronel João Sá,
BA,2909307,Correntina,38977.7999841432
BA,2909406,Cotegipe,
BA,2909505,Cravolândia,
BA,2909604,Crisópolis,11242.467197555
BA,2909703,Cristópolis,
BA,2909802,Cruz das Almas,157072.765571312
BA,2909901,Curaçá,14248.0099095712
BA,2910008,Dário Meira,3875.5095580637
BA,2910057,Dias d'Ávila,61163.8724964797
BA,2910107,Dom Basílio,
BA,2910206,Dom Macedo Costa,
BA,2910305,Elísio Medrado,
BA,2910404,Encruzilhada,5665.750677532
BA,2910503,Entre Rios,47788.1838130314
BA,2910602,Esplanada,48915.9983746169
BA,2910701,Euclides da Cunha,89724.731181588
BA,2910727,Eunápolis,154261.785835987
BA,2910750,Fátima,
BA,2910776,Feira da Mata,
BA,2910800,Feira de Santana,1009391.37240144
BA,2910859,Filadélfia,
BA,2910909,Firmino Alves,
BA,2911006,Floresta Azul,3310.3905219059
BA,2911105,Formosa do Rio Preto,22365.9517879811
BA,2911204,Gandu,53702.1975471286
BA,2911253,Gavião,
BA,2911303,Gentio do Ouro,
BA,2911402,Glória,
BA,2911501,Gongogi,
BA,2911600,Governador Mangabeira,
BA,2911659,Guajeru,
BA,2911709,Guanambi,216060.35212196
BA,2911808,Guaratinga,
BA,2911857,Heliópolis,
BA,2911907,Iaçu,13498.1278233028
BA,2912004,Ibiassucê,
BA,2912103,Ibicaraí,34611.3932108623
BA,2912202,Ibicoara,16056.6314699594
BA,2912301,Ibicuí,
BA,2912400,Ibipeba,14526.8173394997
BA,2912509,Ibipitanga,
BA,2912608,Ibiquera,
BA,2912707,Ibirapitanga,
BA,2912806,Ibirapuã,
BA,2912905,Ibirataia,7874.2379447561
BA,2913002,Ibitiara,
BA,2913101,Ibititá,
BA,2913200,Ibotirama,45045.6162984533
BA,2913309,Ichu,
BA,2913408,Igaporã,
BA,2913457,Igrapiúna,
BA,2913507,Iguaí,21347.7001255437
BA,2913606,Ilhéus,266335.063631908
BA,2913705,Inhambupe,43175.4247019717
BA,2913804,Ipecaetá,7245.6399038616
BA,2913903,Ipiaú,83134.3107461085
BA,2914000,Ipirá,99995.6357231119
BA,2914109,Ipupiara,33269.9006090775
BA,2914208,Irajuba,
BA,2914307,Iramaia,
BA,2914406,Iraquara,17673.9838230687
BA,2914505,Irará,48577.6497620441
BA,2914604,Irecê,159244.781167852
BA,2914653,Itabela,27795.0817987318
BA,2914703,Itaberaba,118200.215258518
BA,2914802,Itabuna,374852.28243658
BA,2914901,Itacaré,19540.718449289
BA,2915007,Itaeté,
BA,2915106,Itagi,
BA,2915205,Itagibá,4909.6393942491
BA,2915304,Itagimirim,7425.3774179109
BA,2915353,Itaguaçu da Bahia,
BA,2915403,Itaju do Colônia,2594.9713795185
BA,2915502,Itajuípe,12549.636866911
BA,2915601,Itamaraju,71954.5402393012
BA,2915700,Itamari,
BA,2915809,Itambé,19820.9487456003
BA,2915908,Itanagra,
BA,2916005,Itanhém,16609.3454914546
BA,2916104,Itaparica,16588.4343435366
BA,2916203,Itapé,
BA,2916302,Itapebi,
BA,2916401,Itapetinga,107388.599614773
BA,2916500,Itapicuru,15467.3587081585
BA,2916609,Itapitanga,
BA,2916708,Itaquara,
BA,2916807,Itarantim,11765.1583883462
BA,2916856,Itatim,4499.0868757903
BA,2916906,Itiruçu,7281.5213387675
BA,2917003,Itiúba,46531.3198209057
BA,2917102,Itororó,7490.4949941738
BA,2917201,Ituaçu,13495.8438864892
BA,2917300,Ituberá,37918.5901590513
BA,2917334,Iuiú,
BA,2917359,Jaborandi,
BA,2917409,Jacaraci,
BA,2917508,Jacobina,160464.773581584
BA,2917607,Jaguaquara,68975.6119542001
BA,2917706,Jaguarari,43363.0404854204
BA,2917805,Jaguaripe,
BA,2917904,Jandaíra,
BA,2918001,Jequié,244573.489216202
BA,2918100,Jeremoabo,51148.008003342
BA,2918209,Jiquiriçá,
BA,2918308,Jitaúna,
BA,2918357,João Dourado,
BA,2918407,Juazeiro,265083.720903891
BA,2918456,Jucuruçu,
BA,2918506,Jussara,
BA,2918555,Jussari,
BA,2918605,Jussiape,
BA,2918704,Lafaiete Coutinho,
BA,2918753,Lagoa Real,
BA,2918803,Laje,
BA,2918902,Lajedão,
BA,2919009,Lajedinho,
BA,2919058,Lajedo do Tabocal,
BA,2919108,Lamarão,
BA,2919157,Lapão,18271.688337041
BA,2919207,Lauro de Freitas,343996.171387336
BA,2919306,Lençóis,8169.5592879327
BA,2919405,Licínio de Almeida,28624.0721056217
BA,2919504,Livramento de Nossa Senhora,134656.338342215
BA,2919553,Luís Eduardo Magalhães,107167.948129183
BA,2919603,Macajuba,
BA,2919702,Macarani,11704.9547765188
BA,2919801,Macaúbas,96002.8928259999
BA,2919900,Macururé,
BA,2919926,Madre de Deus,16595.6571843256
BA,2919959,Maetinga,
BA,2920007,Maiquinique,5251.2879017354
BA,2920106,Mairi,4887.2935664822
BA,2920205,Malhada,
BA,2920304,Malhada de Pedras,10343.5875490979
BA,2920403,Manoel Vitorino,
BA,2920452,Mansidão,
BA,2920502,Maracás,39471.3792937411
BA,2920601,Maragogipe,36257.8609454512
BA,2920700,Maraú,
BA,2920809,Marcionílio Souza,
BA,2920908,Mascote,
BA,2921005,Mata de São João,32623.5578667632
BA,2921054,Matina,
BA,2921104,Medeiros Neto,43764.6318334044
BA,2921203,Miguel Calmon,21980.5567022631
BA,2921302,Milagres,5736.6782915243
BA,2921401,Mirangaba,
BA,2921450,Mirante,
BA,2921500,Monte Santo,53201.8416832454
BA,2921609,Morpará,
BA,2921708,Morro do Chapéu,35375.400702512
BA,2921807,Mortugaba,17528.3145956197
BA,2921906,Mucugê,27248.9846309593
BA,2922003,Mucuri,25777.0989262291
BA,2922052,Mulungu do Morro,
BA,2922102,Mundo Novo,23633.134624132
BA,2922201,Muniz Ferreira,
BA,2922250,Muquém de São Francisco,
BA,2922300,Muritiba,26818.9363928568
BA,2922409,Mutuípe,51429.7294216189
BA,2922508,Nazaré,69370.4070587883
BA,2922607,Nilo Peçanha,5975.0972303943
BA,2922656,Nordestina,
BA,2922706,Nova Canaã,19991.8270350132
BA,2922730,Nova Fátima,
BA,2922755,Nova Ibiá,
BA,2922805,Nova Itarana,
BA,2922854,Nova Redenção,
BA,2922904,Nova Soure,28309.8312774343
BA,2923001,Nova Viçosa,30351.6095337697
BA,2923035,Novo Horizonte,
BA,2923050,Novo Triunfo,
BA,2923100,Olindina,6901.868035196
BA,2923209,Oliveira dos Brejinhos,40952.3084256743
BA,2923308,Ouriçangas,
BA,2923357,Ourolândia,
BA,2923407,Palmas de Monte Alto,21258.2100557436
BA,2923506,Palmeiras,7848.5550315337
BA,2923605,Paramirim,78260.6293555281
BA,2923704,Paratinga,10314.4432902563
BA,2923803,Paripiranga,50803.1300442042
BA,2923902,Pau Brasil,
BA,2924009,Paulo Afonso,222135.742180761
BA,2924058,Pé de Serra,
BA,2924108,Pedrão,
BA,2924207,Pedro Alexandre,3903.9511344296
BA,2924306,Piatã,27366.530808096
BA,2924405,Pilão Arcado,26413.6334287829
BA,2924504,Pindaí,13303.3583297195
BA,2924603,Pindobaçu,11411.9020564032
BA,2924652,Pintadas,
BA,2924678,Piraí do Norte,
BA,2924702,Piripá,
BA,2924801,Piritiba,13985.4744356
BA,2924900,Planaltino,4865.462280802
BA,2925006,Planalto,14208.110145988
BA,2925105,Poções,99005.7783831754
BA,2925204,Pojuca,45340.5705491038
BA,2925253,Ponto Novo,
BA,2925303,Porto Seguro,148982.872799666
BA,2925402,Potiraguá,4852.6367942471
BA,2925501,Prado,25882.7226906775
BA,2925600,Presidente Dutra,31132.3658953856
BA,2925709,Presidente Jânio Quadros,12615.1158477348
BA,2925758,Presidente Tancredo Neves,4878.6032306601
BA,2925808,Queimadas,15736.8553765175
BA,2925907,Quijingue,12226.5915060608
BA,2925931,Quixabeira,
BA,2925956,Rafael Jambeiro,
BA,2926004,Remanso,55048.6478669277
BA,2926103,Retirolândia,
BA,2926202,Riachão das Neves,15086.2208456582
BA,2926301,Riachão do Jacuípe,89488.4762947256
BA,2926400,Riacho de Santana,75993.1018841371
BA,2926509,Ribeira do Amparo,
BA,2926608,Ribeira do Pombal,99319.5142950634
BA,2926657,Ribeirão do Largo,
BA,2926707,Rio de Contas,70405.153820435
BA,2926806,Rio do Antônio,19424.8913502635
BA,2926905,Rio do Pires,27475.0366207803
BA,2927002,Rio Real,39475.6290788504
BA,2927101,Rodelas,7567.47941608
BA,2927200,Ruy Barbosa,45181.9550752223
BA,2927309,Salinas da Margarida,
BA,2927408,Salvador,6471716.9424931
BA,2927507,Santa Bárbara,
BA,2927606,Santa Brígida,3503.0725322444
BA,2927705,Santa Cruz Cabrália,18262.875928734
BA,2927804,Santa Cruz da Vitória,
BA,2927903,Santa Inês,
BA,2928000,Santaluz,62955.1466379436
BA,2928059,Santa Luzia,
BA,2928109,Santa Maria da Vitória,90020.6650748679
BA,2928208,Santana,44220.1700314467
BA,2928307,Santanópolis,
BA,2928406,Santa Rita de Cássia,30390.6753541409
BA,2928505,Santa Teresinha,
BA,2928604,Santo Amaro,86638.5760009111
BA,2928703,Santo Antônio de Jesus,254954.297059717
BA,2928802,Santo Estêvão,119784.527096593
BA,2928901,São Desidério,25930.7470563089
BA,2928950,São Domingos,
BA,2929008,São Félix,35096.550831612
BA,2929057,São Félix do Coribe,
BA,2929107,São Felipe,
BA,2929206,São Francisco do Conde,18758.6044141228
BA,2929255,São Gabriel,3502.377725413
BA,2929305,São Gonçalo dos Campos,54444.123920163
BA,2929354,São José da Vitória,
BA,2929370,São José do Jacuípe,
BA,2929404,São Miguel das Matas,
BA,2929503,São Sebastião do Passé,41311.741887873
BA,2929602,Sapeaçu,35497.07284213
BA,2929701,Sátiro Dias,
BA,2929750,Saubara,
BA,2929800,Saúde,24206.9610600076
BA,2929909,Seabra,149717.10379326
BA,2930006,Sebastião Laranjeiras,
BA,2930105,Senhor do Bonfim,140183.419489835
BA,2930154,Serra do Ramalho,15520.2226571415
BA,2930204,Sento Sé,12412.4059546702
BA,2930303,Serra Dourada,24045.7256218273
BA,2930402,Serra Preta,13736.129353031
BA,2930501,Serrinha,193606.639843149
BA,2930600,Serrolândia,
BA,2930709,Simões Filho,122222.814285199
BA,2930758,Sítio do Mato,
BA,2930766,Sítio do Quinto,
BA,2930774,Sobradinho,8019.5300163558
BA,2930808,Souto Soares,24333.4145907173
BA,2930907,Tabocas do Brejo Velho,
BA,2931004,Tanhaçu,33704.616041431
BA,2931053,Tanque Novo,
BA,2931103,Tanquinho,
BA,2931202,Taperoá,10397.2605017529
BA,2931301,Tapiramutá,9886.3744640589
BA,2931350,Teixeira de Freitas,182993.486057502
BA,2931400,Teodoro Sampaio,
BA,2931509,Teofilândia,
BA,2931608,Teolândia,9595.9902747146
BA,2931707,Terra Nova,
BA,2931806,Tremedal,
BA,2931905,Tucano,48914.8052145229
BA,2932002,Uauá,29339.803211026
BA,2932101,Ubaíra,
BA,2932200,Ubaitaba,28433.2242453066
BA,2932309,Ubatã,24455.2503687201
BA,2932408,Uibaí,
BA,2932457,Umburanas,
BA,2932507,Una,11250.7208726606
BA,2932606,Urandi,24343.8673206937
BA,2932705,Uruçuca,7299.0096442156
BA,2932804,Utinga,12530.6885045382
BA,2932903,Valença,139647.56503486
BA,2933000,Valente,17871.8480072808
BA,2933059,Várzea da Roça,
BA,2933109,Várzea do Poço,
BA,2933158,Várzea Nova,
BA,2933174,Varzedo,
BA,2933208,Vera Cruz,29041.0743391321
BA,2933257,Vereda,
BA,2933307,Vitória da Conquista,616490.393054809
BA,2933406,Wagner,7235.9366726902
BA,2933455,Wanderley,10480.3170453256
BA,2933505,Wenceslau Guimarães,
BA,2933604,Xique-Xique,69517.1823767095
BA,2999919,Trancoso,
BA,2999929,Barcellos,
BA,2999939,Olivença,
BA,2999949,Villa Verde,
CE,2300101,Abaiara,
CE,2300150,Acarapé,
CE,2300200,Acaraú,95545.5655441203
CE,2300309,Acopiara,54924.7442947907
CE,2300408,Aiuaba,
CE,2300507,Alcântaras,
CE,2300606,Altaneira,
CE,2300705,Alto Santo,2981.9157794619
CE,2300754,Amontada,11633.8665868922
CE,2300804,Antonina do Norte,
CE,2300903,Apuiarés,
CE,2301000,Aquiraz,23216.9514576168
CE,2301109,Aracati,111094.432794233
CE,2301208,Aracoiaba,8039.4523333928
CE,2301257,Ararendá,
CE,2301307,Araripe,
CE,2301406,Aratuba,
CE,2301505,Arneiroz,
CE,2301604,Assaré,26855.2562386223
CE,2301703,Aurora,14863.3160507607
CE,2301802,Baixio,
CE,2301851,Banabuiú,5693.0743499595
CE,2301901,Barbalha,87314.8492538781
CE,2301950,Barreira,
CE,2302008,Barro,22345.9494018949
CE,2302057,Barroquinha,
CE,2302107,Baturité,60437.1198645746
CE,2302206,Beberibe,20181.5009868089
CE,2302305,Bela Cruz,15207.7976024745
CE,2302404,Boa Viagem,49362.7346652112
CE,2302503,Brejo Santo,91642.5940523201
CE,2302602,Camocim,80437.3703385792
CE,2302701,Campos Sales,49936.2163228858
CE,2302800,Canindé,67279.7779317179
CE,2302909,Capistrano,
CE,2303006,Caridade,3047.2319969726
CE,2303105,Cariré,
CE,2303204,Caririaçu,11459.4206306636
CE,2303303,Cariús,
CE,2303402,Carnaubal,
CE,2303501,Cascavel,66450.3465887537
CE,2303600,Catarina,
CE,2303659,Catunda,
CE,2303709,Caucaia,169087.533313843
CE,2303808,Cedro,7438.2212809689
CE,2303907,Chaval,
CE,2303931,Choró,
CE,2303956,Chorozinho,
CE,2304004,Coreaú,
CE,2304103,Crateús,146788.118905757
CE,2304202,Crato,176551.401192564
CE,2304236,Croatá,
CE,2304251,Cruz,
CE,2304269,Deputado Irapuan Pinheiro,
CE,2304277,Ererê,
CE,2304285,Eusébio,39232.6606428563
CE,2304301,Farias Brito,
CE,2304350,Forquilha,7609.9580155979
CE,2304400,Fortaleza,5042179.59731551
CE,2304459,Fortim,
CE,2304509,Frecheirinha,17345.9833694189
CE,2304608,General Sampaio,
CE,2304657,Graça,
CE,2304707,Granja,23478.7746233251
CE,2304806,Granjeiro,
CE,2304905,Groaíras,
CE,2304954,Guaiúba,
CE,2305001,Guaraciaba do Norte,40576.7167668233
CE,2305100,Guaramiranga,
CE,2305209,Hidrolândia,11685.6288207609
CE,2305233,Horizonte,43718.5405008845
CE,2305266,Ibaretama,
CE,2305308,Ibiapina,13961.9091955918
CE,2305332,Ibicuitinga,
CE,2305357,Icapuí,14532.392420511
CE,2305407,Icó,81045.6772197673
CE,2305506,Iguatu,150911.408918412
CE,2305605,Independência,10384.5767767933
CE,2305654,Ipaporanga,
CE,2305704,Ipaumirim,9436.2638974673
CE,2305803,Ipu,78287.7171961659
CE,2305902,Ipueiras,25196.8420268767
CE,2306009,Iracema,
CE,2306108,Irauçuba,
CE,2306207,Itaiçaba,
CE,2306256,Itaitinga,14452.3658122705
CE,2306306,Itapagé,35469.9351224124
CE,2306405,Itapipoca,91402.4901631303
CE,2306504,Itapiúna,
CE,2306553,Itarema,10111.2052914955
CE,2306603,Itatira,
CE,2306702,Jaguaretama,
CE,2306801,Jaguaribara,
CE,2306900,Jaguaribe,82579.6807553975
CE,2307007,Jaguaruana,20060.7857379593
CE,2307106,Jardim,16460.7885278044
CE,2307205,Jati,
CE,2307254,Jijoca de Jericoacoara,25733.3204078849
CE,2307304,Juazeiro do Norte,298273.601905301
CE,2307403,Jucás,27575.1504970498
CE,2307502,Lavras da Mangabeira,22705.3172337253
CE,2307601,Limoeiro do Norte,84967.1656636533
CE,2307635,Madalena,
CE,2307650,Maracanaú,158690.589150465
CE,2307700,Maranguape,73247.5175603004
CE,2307809,Marco,25934.5676188101
CE,2307908,Martinópole,
CE,2308005,Massapê,17465.4166384095
CE,2308104,Mauriti,25739.3732779767
CE,2308203,Meruoca,
CE,2308302,Milagres,10455.5997735874
CE,2308351,Milhã,
CE,2308377,Miraíma,
CE,2308401,Missão Velha,9118.1806299893
CE,2308500,Mombaça,43360.3067618167
CE,2308609,Monsenhor Tabosa,
