UF,COD,MUN,DESP_SAUDE_SANEAMENTO
AM,1302009,Itapiranga,14815231.81
AM,1302108,Japurá,15279680.67
AM,1302207,Juruá,15360795.12
AM,1302306,Jutaí,28145852.66
AM,1302405,Lábrea,41668039.2
AM,1302504,Manacapuru,101350384.12
AM,1302553,Manaquiri,19571262.47
AM,1302603,Manaus,1345797305.71
AM,1302702,Manicoré,53854289.6
AM,1302801,Maraã,22794823.35
AM,1302900,Maués,68563018.92
AM,1303007,Nhamundá,32607038.4
AM,1303106,Nova Olinda do Norte,31489421.03
AM,1303205,Novo Airão,19544254.91
AM,1303304,Novo Aripuanã,24458798.55
AM,1303403,Parintins,97771427.16
AM,1303502,Pauini,22971884.7
AM,1303536,Presidente Figueiredo,60215677.93
AM,1303569,Rio Preto da Eva,40149674.87
AM,1303601,Santa Isabel do Rio Negro,18555703.43
AM,1303700,Santo Antônio do Içá,27784002.08
AM,1303809,São Gabriel da Cachoeira,23612691.99
AM,1303908,São Paulo de Olivença,39492045.35
AM,1303957,São Sebastião do Uatumã,17902478.5
AM,1304005,Silves,15080509.48
AM,1304062,Tabatinga,43320255.47
AM,1304104,Tapauá,37073633.98
AM,1304203,Tefé,91264209.65
AM,1304237,Tonantins,25036549.73
AM,1304260,Uarini,17048611.74
AM,1304302,Urucará,26528105.6
AM,1304401,Urucurituba,25482320.23
AP,1600055,Serra do Navio,8954902.39
AP,1600105,Amapá,7971610.28
AP,1600154,Pedra Branca do Amaparí,29755944.34
AP,1600204,Calçoene,
AP,1600212,Cutias,
AP,1600238,Ferreira Gomes,10506947.13
AP,1600253,Itaubal,7094921.71
AP,1600279,Laranjal do Jari,36386413.72
AP,1600303,Macapá,259385869.63
AP,1600402,Mazagão,45887714.27
AP,1600501,Oiapoque,12849599.82
AP,1600535,Porto Grande,22006117.4
AP,1600550,Pracuúba,6615092.65
AP,1600600,Santana,70207539.41
AP,1600709,Tartarugalzinho,
AP,1600808,Vitória do Jari,14156585.23
BA,2900108,Abaíra,9989961.21
BA,2900207,Abaré,17242337.13
BA,2900306,Acajutiba,16960364.54
BA,2900355,Adustina,16548660.46
BA,2900405,Água Fria,19578017.85
BA,2900504,Érico Cardoso,10068813.01
BA,2900603,Aiquara,6872383.17
BA,2900702,Alagoinhas,231910652
BA,2900801,Alcobaça,22147100.86
BA,2900900,Almadina,6030667.39
BA,2901007,Amargosa,31438609.17
BA,2901106,Amélia Rodrigues,21655094.06
BA,2901155,América Dourada,13642639.59
BA,2901205,Anagé,19206610.36
BA,2901304,Andaraí,11799558.65
BA,2901353,Andorinha,16840357.87
BA,2901403,Angical,13769318.31
BA,2901502,Anguera,10327905.05
BA,2901601,Antas,14407560.89
BA,2901700,Antônio Cardoso,9417679.96
BA,2901809,Antônio Gonçalves,10400063.67
BA,2901908,Aporá,17503084.51
BA,2901957,Apuarema,7716537.73
BA,2902005,Aracatu,12937911.65
BA,2902054,Araças,10395990.88
BA,2902104,Araci,42231331.6
BA,2902203,Aramari,10111186.36
BA,2902252,Arataca,9197878.64
BA,2902302,Aratuípe,8111348.52
BA,2902401,Aurelino Leal,12871422.13
BA,2902500,Baianópolis,16086260.56
BA,2902609,Baixa Grande,19549678.45
BA,2902658,Banzaê,11607138.89
BA,2902708,Barra,39838935.24
BA,2902807,Barra da Estiva,17115454.25
BA,2902906,Barra do Choça,30758789.83
BA,2903003,Barra do Mendes,16680069.74
BA,2903102,Barra do Rocha,7359344.7
BA,2903201,Barreiras,197987887.29
BA,2903235,Barro Alto,13066660.88
BA,2903276,Barrocas,15838920.34
BA,2903300,Governador Lomanto Júnior,7937700.21
BA,2903409,Belmonte,19011345.54
BA,2903508,Belo Campo,19140266.72
BA,2903607,Biritinga,13035847.57
BA,2903706,Boa Nova,11322549.07
BA,2903805,Boa Vista do Tupim,15136162.87
BA,2903904,Bom Jesus da Lapa,93297292.57
BA,2903953,Bom Jesus da Serra,10742687.36
BA,2904001,Boninal,14001763.88
BA,2904050,Bonito,21413209.77
BA,2904100,Boquira,19519317.1
BA,2904209,Botuporã,11868735.22
BA,2904308,Brejões,11219097.5
BA,2904407,Brejolândia,9029668.43
BA,2904506,Brotas de Macaúbas,
BA,2904605,Brumado,93441581.99
BA,2904704,Buerarema,6501817.92
BA,2904753,Buritirama,19711704.11
BA,2904803,Caatiba,
BA,2904852,Cabaceiras do Paraguaçu,15342298.95
BA,2904902,Cachoeira,24014272.92
BA,2905008,Caculé,23167722.79
BA,2905107,Caém,11385537.35
BA,2905156,Caetanos,12961223.97
BA,2905206,Caetité,49039322.77
BA,2905305,Cafarnaum,18643717.35
BA,2905404,Cairu,38674403.54
BA,2905503,Caldeirão Grande,12491530.42
BA,2905602,Camacan,24850161.77
BA,2905701,Camaçari,459998349.84
BA,2905800,Camamu,19746082.25
BA,2905909,Campo Alegre de Lourdes,25707771.91
BA,2906006,Campo Formoso,59124702.38
BA,2906105,Canápolis,9207103.77
BA,2906204,Canarana,18543805.46
BA,2906303,Canavieiras,26589254.69
BA,2906402,Candeal,6296393.68
BA,2906501,Candeias,96851758.98
BA,2906600,Candiba,11034148.78
BA,2906709,Cândido Sales,21156659.74
BA,2906808,Cansanção,33202855.4
BA,2906824,Canudos,18452922.45
BA,2906857,Capela do Alto Alegre,12456100.49
BA,2906873,Capim Grosso,26219279.79
BA,2906899,Caraíbas,10062728.89
BA,2906907,Caravelas,25357907.52
BA,2907004,Cardeal da Silva,9684041.37
BA,2907103,Carinhanha,30570248.83
BA,2907202,Casa Nova,58993300.31
BA,2907301,Castro Alves,24752269.71
BA,2907400,Catolândia,5592770.56
BA,2907509,Catu,66785419.64
BA,2907558,Caturama,9064272.32
BA,2907608,Central,16743994.91
BA,2907707,Chorrochó,12641654.19
BA,2907806,Cícero Dantas,26138116.53
BA,2907905,Cipó,16164313.28
BA,2908002,Coaraci,19888532.11
BA,2908101,Cocos,23918739.05
BA,2908200,Conceição da Feira,17487078.09
BA,2908309,Conceição do Almeida,17924406.22
BA,2908408,Conceição do Coité,48512975.44
BA,2908507,Conceição do Jacuípe,42650862.73
BA,2908606,Conde,23697265.02
BA,2908705,Condeúba,16953685.17
BA,2908804,Contendas do Sincorá,6457666.88
BA,2908903,Coração de Maria,17630833.55
BA,2909000,Cordeiros,7613154.01
BA,2909109,Coribe,20838804.47
BA,2909208,Coronel João Sá,15607419.65
BA,2909307,Correntina,58033632.29
BA,2909406,Cotegipe,13399314.24
BA,2909505,Cravolândia,6178799.13
BA,2909604,Crisópolis,18015431.85
BA,2909703,Cristópolis,17321668.75
BA,2909802,Cruz das Almas,51139126.02
BA,2909901,Curaçá,34936774.01
BA,2910008,Dário Meira,10921831.51
BA,2910057,Dias d'Ávila,67250484.82
BA,2910107,Dom Basílio,13399210.77
BA,2910206,Dom Macedo Costa,5403261.09
BA,2910305,Elísio Medrado,8079573.45
BA,2910404,Encruzilhada,20568247.43
BA,2910503,Entre Rios,45196767.74
BA,2910602,Esplanada,36322526.99
BA,2910701,Euclides da Cunha,45641887.74
BA,2910727,Eunápolis,129175560.65
BA,2910750,Fátima,18204144.96
BA,2910776,Feira da Mata,8784425.87
BA,2910800,Feira de Santana,476664899.54
BA,2910859,Filadélfia,18794076.09
BA,2910909,Firmino Alves,5738962.38
BA,2911006,Floresta Azul,9446624.08
BA,2911105,Formosa do Rio Preto,59543114.44
BA,2911204,Gandu,32457352.18
BA,2911253,Gavião,5610484.55
BA,2911303,Gentio do Ouro,16745128
BA,2911402,Glória,16069037.4
BA,2911501,Gongogi,10160721.15
BA,2911600,Governador Mangabeira,18995942.78
BA,2911659,Guajeru,9687918.41
BA,2911709,Guanambi,96215411.83
BA,2911808,Guaratinga,18600923.33
BA,2911857,Heliópolis,14006468.83
BA,2911907,Iaçu,24284876.57
BA,2912004,Ibiassucê,11884787.35
BA,2912103,Ibicaraí,27716837.64
BA,2912202,Ibicoara,18963310.29
BA,2912301,Ibicuí,16142289.35
BA,2912400,Ibipeba,18704258.2
BA,2912509,Ibipitanga,13277113.73
BA,2912608,Ibiquera,5778949.89
BA,2912707,Ibirapitanga,19946543.19
BA,2912806,Ibirapuã,13956427.3
BA,2912905,Ibirataia,20366031.04
BA,2913002,Ibitiara,16286813.67
BA,2913101,Ibititá,18559183.85
BA,2913200,Ibotirama,44880298.32
BA,2913309,Ichu,7923451.44
BA,2913408,Igaporã,22093821.14
BA,2913457,Igrapiúna,13312442.94
BA,2913507,Iguaí,17873952.19
BA,2913606,Ilhéus,142331599.58
BA,2913705,Inhambupe,28302462.71
BA,2913804,Ipecaetá,14033994.28
BA,2913903,Ipiaú,34248296.13
BA,2914000,Ipirá,37049309.18
BA,2914109,Ipupiara,12628951.6
BA,2914208,Irajuba,9337397.12
BA,2914307,Iramaia,9700649
BA,2914406,Iraquara,20482237.99
BA,2914505,Irará,22612394.96
BA,2914604,Irecê,71748614.98
BA,2914653,Itabela,30927211.46
BA,2914703,Itaberaba,63308007.25
BA,2914802,Itabuna,344358633.59
BA,2914901,Itacaré,23733346.44
BA,2915007,Itaeté,12098270.55
BA,2915106,Itagi,10584539.51
BA,2915205,Itagibá,18844665.71
BA,2915304,Itagimirim,8760261.34
BA,2915353,Itaguaçu da Bahia,19487459.4
BA,2915403,Itaju do Colônia,6783086.85
BA,2915502,Itajuípe,14407183.12
BA,2915601,Itamaraju,45595424.49
BA,2915700,Itamari,8156497.58
BA,2915809,Itambé,20584334.26
BA,2915908,Itanagra,8539766.73
BA,2916005,Itanhém,15176450.52
BA,2916104,Itaparica,16627343.33
BA,2916203,Itapé,8335879.19
BA,2916302,Itapebi,13468440.98
BA,2916401,Itapetinga,67223989.26
BA,2916500,Itapicuru,29069353.82
BA,2916609,Itapitanga,10314282.19
BA,2916708,Itaquara,7072209.87
BA,2916807,Itarantim,19151867.27
BA,2916856,Itatim,15086596.08
BA,2916906,Itiruçu,11829009.03
BA,2917003,Itiúba,22482054.79
BA,2917102,Itororó,19859911.78
BA,2917201,Ituaçu,21249196.74
BA,2917300,Ituberá,19641303.22
BA,2917334,Iuiú,10807767.18
BA,2917359,Jaborandi,24570890.55
BA,2917409,Jacaraci,15720259.64
BA,2917508,Jacobina,111327456.46
BA,2917607,Jaguaquara,37621975.78
BA,2917706,Jaguarari,42044420.78
BA,2917805,Jaguaripe,16981678.81
BA,2917904,Jandaíra,10253414.86
BA,2918001,Jequié,142867394.37
BA,2918100,Jeremoabo,28036448.9
BA,2918209,Jiquiriçá,13227475.25
BA,2918308,Jitaúna,11119768.62
BA,2918357,João Dourado,19205782.38
BA,2918407,Juazeiro,271158925.05
BA,2918456,Jucuruçu,8381598.55
BA,2918506,Jussara,14383722.2
BA,2918555,Jussari,7747582.94
BA,2918605,Jussiape,9991195.16
BA,2918704,Lafaiete Coutinho,5636826.33
BA,2918753,Lagoa Real,13797039.01
BA,2918803,Laje,23435470.75
BA,2918902,Lajedão,6196768.81
BA,2919009,Lajedinho,5369347.06
BA,2919058,Lajedo do Tabocal,8844095.83
BA,2919108,Lamarão,9199691.67
BA,2919157,Lapão,26802764.63
BA,2919207,Lauro de Freitas,235718872.64
BA,2919306,Lençóis,12547206.43
BA,2919405,Licínio de Almeida,14170098.47
BA,2919504,Livramento de Nossa Senhora,37260144.56
BA,2919553,Luís Eduardo Magalhães,153273909.66
BA,2919603,Macajuba,11433223.13
BA,2919702,Macarani,19502462.72
BA,2919801,Macaúbas,45259079.86
BA,2919900,Macururé,10425088.55
BA,2919926,Madre de Deus,50053549.69
BA,2919959,Maetinga,9212876.41
BA,2920007,Maiquinique,11717318.23
BA,2920106,Mairi,15765417.58
BA,2920205,Malhada,16445697.95
BA,2920304,Malhada de Pedras,9760346.26
BA,2920403,Manoel Vitorino,13126890.31
BA,2920452,Mansidão,13431713.66
BA,2920502,Maracás,33856310.84
BA,2920601,Maragogipe,33452489.12
BA,2920700,Maraú,20497007.89
BA,2920809,Marcionílio Souza,11914826.38
BA,2920908,Mascote,12349759.44
BA,2921005,Mata de São João,55438638.37
BA,2921054,Matina,10456689.63
BA,2921104,Medeiros Neto,21925729.82
BA,2921203,Miguel Calmon,19266326.67
BA,2921302,Milagres,10274406.87
BA,2921401,Mirangaba,15120513.13
BA,2921450,Mirante,10214267.98
BA,2921500,Monte Santo,45646062.8
BA,2921609,Morpará,8599884.57
BA,2921708,Morro do Chapéu,52351102.26
BA,2921807,Mortugaba,9364228.93
BA,2921906,Mucugê,15626197.73
BA,2922003,Mucuri,61971854.14
BA,2922052,Mulungu do Morro,14648964.81
BA,2922102,Mundo Novo,18325873.74
BA,2922201,Muniz Ferreira,7149068.28
BA,2922250,Muquém de São Francisco,11005149.21
BA,2922300,Muritiba,23358723.11
BA,2922409,Mutuípe,18758806.86
BA,2922508,Nazaré,20668174.1
BA,2922607,Nilo Peçanha,14631645.42
BA,2922656,Nordestina,14147751.56
BA,2922706,Nova Canaã,14749956.67
BA,2922730,Nova Fátima,7438224.6
BA,2922755,Nova Ibiá,7407105.56
BA,2922805,Nova Itarana,8387251.88
BA,2922854,Nova Redenção,7816696.83
BA,2922904,Nova Soure,22554336.54
BA,2923001,Nova Viçosa,38739655.99
BA,2923035,Novo Horizonte,10983597.42
BA,2923050,Novo Triunfo,12387369.83
BA,2923100,Olindina,23016689.08
BA,2923209,Oliveira dos Brejinhos,21504155.32
BA,2923308,Ouriçangas,11014226.96
BA,2923357,Ourolândia,19010468.95
BA,2923407,Palmas de Monte Alto,20964579.77
BA,2923506,Palmeiras,9153893.33
BA,2923605,Paramirim,28060828.89
BA,2923704,Paratinga,23221569.15
BA,2923803,Paripiranga,24979835.61
BA,2923902,Pau Brasil,8957824.16
BA,2924009,Paulo Afonso,175293636.7
BA,2924058,Pé de Serra,15027240.76
BA,2924108,Pedrão,7468112.64
BA,2924207,Pedro Alexandre,13783100.81
BA,2924306,Piatã,24815560.33
BA,2924405,Pilão Arcado,25915851.28
BA,2924504,Pindaí,15395642.02
BA,2924603,Pindobaçu,21309302.73
BA,2924652,Pintadas,11645072.89
BA,2924678,Piraí do Norte,14962691.22
BA,2924702,Piripá,11201367.11
BA,2924801,Piritiba,19023425.72
BA,2924900,Planaltino,9194787.5
BA,2925006,Planalto,21135952.92
BA,2925105,Poções,26571899.52
BA,2925204,Pojuca,57143058.77
BA,2925253,Ponto Novo,14613900.25
BA,2925303,Porto Seguro,198479695.94
BA,2925402,Potiraguá,8401199.47
BA,2925501,Prado,36738840.82
BA,2925600,Presidente Dutra,15579301.49
BA,2925709,Presidente Jânio Quadros,13508918.95
BA,2925758,Presidente Tancredo Neves,18627864.65
BA,2925808,Queimadas,22567348.07
BA,2925907,Quijingue,24014253.13
BA,2925931,Quixabeira,7320188.53
BA,2925956,Rafael Jambeiro,21153489.15
BA,2926004,Remanso,32724041.83
BA,2926103,Retirolândia,12368702.93
BA,2926202,Riachão das Neves,32123279.07
BA,2926301,Riachão do Jacuípe,31022763.34
BA,2926400,Riacho de Santana,28951697.53
BA,2926509,Ribeira do Amparo,12004676.69
BA,2926608,Ribeira do Pombal,29407612.64
BA,2926657,Ribeirão do Largo,8518631.86
BA,2926707,Rio de Contas,14853477.06
BA,2926806,Rio do Antônio,13506289.71
BA,2926905,Rio do Pires,11441475.14
BA,2927002,Rio Real,34563759.73
BA,2927101,Rodelas,11636517.04
BA,2927200,Ruy Barbosa,23432625.94
BA,2927309,Salinas da Margarida,10854649.15
BA,2927408,Salvador,2094461181.42
BA,2927507,Santa Bárbara,16100354.32
BA,2927606,Santa Brígida,12189871.39
BA,2927705,Santa Cruz Cabrália,26711333.52
BA,2927804,Santa Cruz da Vitória,6330085.12
BA,2927903,Santa Inês,12246829.9
BA,2928000,Santaluz,36850773.65
BA,2928059,Santa Luzia,10800090.31
BA,2928109,Santa Maria da Vitória,61187792.01
BA,2928208,Santana,20995304.86
BA,2928307,Santanópolis,9157720.55
BA,2928406,Santa Rita de Cássia,24967417.55
BA,2928505,Santa Teresinha,14283198.62
BA,2928604,Santo Amaro,55346940.77
BA,2928703,Santo Antônio de Jesus,84225340.49
BA,2928802,Santo Estêvão,37805691.39
BA,2928901,São Desidério,101608217.6
BA,2928950,São Domingos,12705540.66
BA,2929008,São Félix,25539499.14
BA,2929057,São Félix do Coribe,26896883.91
BA,2929107,São Felipe,20109038.59
BA,2929206,São Francisco do Conde,178249176.39
BA,2929255,São Gabriel,17522789.12
BA,2929305,São Gonçalo dos Campos,28983022.21
BA,2929354,São José da Vitória,5926765.67
BA,2929370,São José do Jacuípe,8538565.7
BA,2929404,São Miguel das Matas,9490952.16
BA,2929503,São Sebastião do Passé,51807168.18
BA,2929602,Sapeaçu,22158329.27
BA,2929701,Sátiro Dias,20164303.68
BA,2929750,Saubara,12318487.54
BA,2929800,Saúde,11543072.63
BA,2929909,Seabra,26786781.12
BA,2930006,Sebastião Laranjeiras,12087969.75
BA,2930105,Senhor do Bonfim,77607535.98
BA,2930154,Serra do Ramalho,26096632.9
BA,2930204,Sento Sé,41077261.53
BA,2930303,Serra Dourada,21381976.91
BA,2930402,Serra Preta,15561139.15
BA,2930501,Serrinha,67149654.29
BA,2930600,Serrolândia,12582011.35
BA,2930709,Simões Filho,122064392.28
BA,2930758,Sítio do Mato,9887226.85
BA,2930766,Sítio do Quinto,10009222.15
BA,2930774,Sobradinho,26011944.67
BA,2930808,Souto Soares,15048553.22
BA,2930907,Tabocas do Brejo Velho,16957651.36
BA,2931004,Tanhaçu,9225688.52
BA,2931053,Tanque Novo,18258707.56
BA,2931103,Tanquinho,8698412.54
BA,2931202,Taperoá,19221245.15
BA,2931301,Tapiramutá,15557383.34
BA,2931350,Teixeira de Freitas,176238693.59
BA,2931400,Teodoro Sampaio,8332754.18
BA,2931509,Teofilândia,17103369.19
BA,2931608,Teolândia,15308420.05
BA,2931707,Terra Nova,10584837.54
BA,2931806,Tremedal,15800695.86
BA,2931905,Tucano,40491243.41
BA,2932002,Uauá,24424176.55
BA,2932101,Ubaíra,13969250.81
BA,2932200,Ubaitaba,14897616.73
BA,2932309,Ubatã,16922222.21
BA,2932408,Uibaí,12528717.13
BA,2932457,Umburanas,12689490.39
BA,2932507,Una,26016304.71
BA,2932606,Urandi,16937630.21
BA,2932705,Uruçuca,17190603.71
BA,2932804,Utinga,14890031.74
BA,2932903,Valença,
BA,2933000,Valente,24987720.68
BA,2933059,Várzea da Roça,12107475.86
BA,2933109,Várzea do Poço,8656370.07
BA,2933158,Várzea Nova,11601241.19
BA,2933174,Varzedo,9894038.27
BA,2933208,Vera Cruz,36218169.87
BA,2933257,Vereda,8300577.46
BA,2933307,Vitória da Conquista,290650361.79
BA,2933406,Wagner,8101902.2
BA,2933455,Wanderley,15653631.53
BA,2933505,Wenceslau Guimarães,19581199.19
BA,2933604,Xique-Xique,45003144.31
BA,2999919,Trancoso,
BA,2999929,Barcellos,
BA,2999939,Olivença,
BA,2999949,Villa Verde,
CE,2300101,Abaiara,11203287.93
CE,2300150,Acarapé,14266889.95
CE,2300200,Acaraú,66316220.44
CE,2300309,Acopiara,40842356.59
CE,2300408,Aiuaba,14727775.31
CE,2300507,Alcântaras,13669329.63
CE,2300606,Altaneira,9673325.59
CE,2300705,Alto Santo,18493146.72
CE,2300754,Amontada,36989368.83
CE,2300804,Antonina do Norte,10075618.33
CE,2300903,Apuiarés,15549330.73
CE,2301000,Aquiraz,100833024.51
CE,2301109,Aracati,72761002.21
CE,2301208,Aracoiaba,36498830.59
CE,2301257,Ararendá,12612572.26
CE,2301307,Araripe,23304698.71
CE,2301406,Aratuba,14507589.6
CE,2301505,Arneiroz,8266825.79
CE,2301604,Assaré,23968925.54
CE,2301703,Aurora,24452474.94
CE,2301802,Baixio,8361367.66
CE,2301851,Banabuiú,19906621.92
CE,2301901,Barbalha,191155742.1
CE,2301950,Barreira,21502759.63
CE,2302008,Barro,19264562.5
CE,2302057,Barroquinha,17318705.15
CE,2302107,Baturité,51431189.39
CE,2302206,Beberibe,42742174.39
CE,2302305,Bela Cruz,27600718.73
CE,2302404,Boa Viagem,41454961.24
CE,2302503,Brejo Santo,84302939.57
CE,2302602,Camocim,70468545.06
CE,2302701,Campos Sales,22351253.84
CE,2302800,Canindé,81832302.84
CE,2302909,Capistrano,22126821.48
CE,2303006,Caridade,23537406.95
CE,2303105,Cariré,20945672.85
CE,2303204,Caririaçu,25454086.3
CE,2303303,Cariús,14862704.61
CE,2303402,Carnaubal,21881403.63
CE,2303501,Cascavel,73110563.78
CE,2303600,Catarina,18700964
CE,2303659,Catunda,15502429.75
CE,2303709,Caucaia,266563874.12
CE,2303808,Cedro,26910658.68
CE,2303907,Chaval,15313657.88
CE,2303931,Choró,15615190.48
CE,2303956,Chorozinho,18462873.4
CE,2304004,Coreaú,22083168.69
CE,2304103,Crateús,78461664.92
CE,2304202,Crato,148387715.62
CE,2304236,Croatá,24977589.1
CE,2304251,Cruz,33910979.34
CE,2304269,Deputado Irapuan Pinheiro,12834219.52
CE,2304277,Ererê,11505156.94
CE,2304285,Eusébio,142892982.75
CE,2304301,Farias Brito,23494258.57
CE,2304350,Forquilha,21533665.3
CE,2304400,Fortaleza,2730558391.88
CE,2304459,Fortim,19177496.65
CE,2304509,Frecheirinha,17296238.66
CE,2304608,General Sampaio,9948360.78
CE,2304657,Graça,13268877.84
CE,2304707,Granja,50443076.88
CE,2304806,Granjeiro,8028690.39
CE,2304905,Groaíras,12532875.79
CE,2304954,Guaiúba,25474306.18
