UF,COD,MUN,OPERACOES_CREDITO
AM,1303403,Parintins,100663.789186924
AM,1303502,Pauini,460.3322776719
AM,1303536,Presidente Figueiredo,29059.782931893
AM,1303569,Rio Preto da Eva,7633.1137221086
AM,1303601,Santa Isabel do Rio Negro,
AM,1303700,Santo Antônio do Içá,450.4150915001
AM,1303809,São Gabriel da Cachoeira,28286.98447119
AM,1303908,São Paulo de Olivença,9360.057851728
AM,1303957,São Sebastião do Uatumã,
AM,1304005,Silves,
AM,1304062,Tabatinga,52501.8058616298
AM,1304104,Tapauá,182.1938399633
AM,1304203,Tefé,76961.8971263088
AM,1304237,Tonantins,
AM,1304260,Uarini,
AM,1304302,Urucará,441.8315144103
AM,1304401,Urucurituba,
AP,1600055,Serra do Navio,
AP,1600105,Amapá,17666.2595662666
AP,1600154,Pedra Branca do Amaparí,15787.2148706497
AP,1600204,Calçoene,
AP,1600212,Cutias,
AP,1600238,Ferreira Gomes,
AP,1600253,Itaubal,
AP,1600279,Laranjal do Jari,72991.542935471
AP,1600303,Macapá,2227357.76922833
AP,1600402,Mazagão,213.6198479395
AP,1600501,Oiapoque,24961.4963393819
AP,1600535,Porto Grande,19868.346997519
AP,1600550,Pracuúba,
AP,1600600,Santana,249886.794753142
AP,1600709,Tartarugalzinho,
AP,1600808,Vitória do Jari,
BA,2900108,Abaíra,
BA,2900207,Abaré,377.0254636285
BA,2900306,Acajutiba,24224.4156752
BA,2900355,Adustina,
BA,2900405,Água Fria,
BA,2900504,Érico Cardoso,
BA,2900603,Aiquara,
BA,2900702,Alagoinhas,501084.385034716
BA,2900801,Alcobaça,28638.5751043879
BA,2900900,Almadina,
BA,2901007,Amargosa,109949.784043203
BA,2901106,Amélia Rodrigues,46406.3210966912
BA,2901155,América Dourada,
BA,2901205,Anagé,14497.999482356
BA,2901304,Andaraí,4690.1753807887
BA,2901353,Andorinha,
BA,2901403,Angical,48875.0935913285
BA,2901502,Anguera,
BA,2901601,Antas,
BA,2901700,Antônio Cardoso,
BA,2901809,Antônio Gonçalves,
BA,2901908,Aporá,
BA,2901957,Apuarema,
BA,2902005,Aracatu,
BA,2902054,Araças,
BA,2902104,Araci,84844.4066851378
BA,2902203,Aramari,
BA,2902252,Arataca,
BA,2902302,Aratuípe,
BA,2902401,Aurelino Leal,
BA,2902500,Baianópolis,38542.5573211651
BA,2902609,Baixa Grande,31156.7046986671
BA,2902658,Banzaê,
BA,2902708,Barra,62491.5337169329
BA,2902807,Barra da Estiva,70246.6109774943
BA,2902906,Barra do Choça,40917.0128511887
BA,2903003,Barra do Mendes,23521.3074772807
BA,2903102,Barra do Rocha,
BA,2903201,Barreiras,1909170.54718492
BA,2903235,Barro Alto,
BA,2903276,Barrocas,
BA,2903300,Governador Lomanto Júnior,
BA,2903409,Belmonte,26985.1387373029
BA,2903508,Belo Campo,18880.9188562777
BA,2903607,Biritinga,
BA,2903706,Boa Nova,
BA,2903805,Boa Vista do Tupim,
BA,2903904,Bom Jesus da Lapa,185543.255614758
BA,2903953,Bom Jesus da Serra,
BA,2904001,Boninal,
BA,2904050,Bonito,575.5477016658
BA,2904100,Boquira,2308.513636336
BA,2904209,Botuporã,21780.7467964016
BA,2904308,Brejões,
BA,2904407,Brejolândia,
BA,2904506,Brotas de Macaúbas,
BA,2904605,Brumado,216692.120109639
BA,2904704,Buerarema,481.8065341491
BA,2904753,Buritirama,234.4614276672
BA,2904803,Caatiba,
BA,2904852,Cabaceiras do Paraguaçu,
BA,2904902,Cachoeira,39161.8446004899
BA,2905008,Caculé,30237.86773031
BA,2905107,Caém,
BA,2905156,Caetanos,
BA,2905206,Caetité,192049.38696835
BA,2905305,Cafarnaum,46559.3046099089
BA,2905404,Cairu,
BA,2905503,Caldeirão Grande,
BA,2905602,Camacan,69522.9145330687
BA,2905701,Camaçari,717571.537129089
BA,2905800,Camamu,22098.3465868338
BA,2905909,Campo Alegre de Lourdes,
BA,2906006,Campo Formoso,85208.9531905554
BA,2906105,Canápolis,
BA,2906204,Canarana,
BA,2906303,Canavieiras,27656.9259358351
BA,2906402,Candeal,
BA,2906501,Candeias,199069.390978925
BA,2906600,Candiba,12569.864583928
BA,2906709,Cândido Sales,38103.5334739067
BA,2906808,Cansanção,18758.2521978134
BA,2906824,Canudos,
BA,2906857,Capela do Alto Alegre,
BA,2906873,Capim Grosso,66699.7021721817
BA,2906899,Caraíbas,
BA,2906907,Caravelas,
BA,2907004,Cardeal da Silva,
BA,2907103,Carinhanha,60521.4198848569
BA,2907202,Casa Nova,96924.70460018
BA,2907301,Castro Alves,73841.163054767
BA,2907400,Catolândia,
BA,2907509,Catu,77310.0027869549
BA,2907558,Caturama,
BA,2907608,Central,
BA,2907707,Chorrochó,280.0054029162
BA,2907806,Cícero Dantas,94486.9568932012
BA,2907905,Cipó,13670.6398713482
BA,2908002,Coaraci,49578.7163313345
BA,2908101,Cocos,
BA,2908200,Conceição da Feira,
BA,2908309,Conceição do Almeida,695.1091686422
BA,2908408,Conceição do Coité,165777.72208932
BA,2908507,Conceição do Jacuípe,50203.6837002598
BA,2908606,Conde,13827.0702915042
BA,2908705,Condeúba,13701.3063171964
BA,2908804,Contendas do Sincorá,
BA,2908903,Coração de Maria,20482.270963154
BA,2909000,Cordeiros,
BA,2909109,Coribe,6865.8942802389
BA,2909208,Coronel João Sá,
BA,2909307,Correntina,100018.587100409
BA,2909406,Cotegipe,
BA,2909505,Cravolândia,
BA,2909604,Crisópolis,1922.4863114044
BA,2909703,Cristópolis,
BA,2909802,Cruz das Almas,160518.132821079
BA,2909901,Curaçá,27318.3493671167
BA,2910008,Dário Meira,296.4077445383
BA,2910057,Dias d'Ávila,73369.2181397447
BA,2910107,Dom Basílio,
BA,2910206,Dom Macedo Costa,
BA,2910305,Elísio Medrado,
BA,2910404,Encruzilhada,588.9647366061
BA,2910503,Entre Rios,40443.8664628924
BA,2910602,Esplanada,65644.8720803281
BA,2910701,Euclides da Cunha,104939.780064677
BA,2910727,Eunápolis,356830.343027641
BA,2910750,Fátima,
BA,2910776,Feira da Mata,
BA,2910800,Feira de Santana,2752675.89907632
BA,2910859,Filadélfia,
BA,2910909,Firmino Alves,
BA,2911006,Floresta Azul,326.0420434625
BA,2911105,Formosa do Rio Preto,123724.063891736
BA,2911204,Gandu,64983.2186481828
BA,2911253,Gavião,
BA,2911303,Gentio do Ouro,
BA,2911402,Glória,
BA,2911501,Gongogi,
BA,2911600,Governador Mangabeira,
BA,2911659,Guajeru,
BA,2911709,Guanambi,328691.932583997
BA,2911808,Guaratinga,
BA,2911857,Heliópolis,
BA,2911907,Iaçu,24332.1256102858
BA,2912004,Ibiassucê,
BA,2912103,Ibicaraí,31299.1339736057
BA,2912202,Ibicoara,2490.9297444797
BA,2912301,Ibicuí,
BA,2912400,Ibipeba,644.6039750926
BA,2912509,Ibipitanga,
BA,2912608,Ibiquera,
BA,2912707,Ibirapitanga,
BA,2912806,Ibirapuã,
BA,2912905,Ibirataia,8485.7817157041
BA,2913002,Ibitiara,
BA,2913101,Ibititá,
BA,2913200,Ibotirama,62564.7229534137
BA,2913309,Ichu,
BA,2913408,Igaporã,
BA,2913457,Igrapiúna,
BA,2913507,Iguaí,17098.8732196552
BA,2913606,Ilhéus,461657.638329178
BA,2913705,Inhambupe,77817.9551471901
BA,2913804,Ipecaetá,920.5328570716
BA,2913903,Ipiaú,113669.303342113
BA,2914000,Ipirá,105908.81726414
BA,2914109,Ipupiara,16150.2492523839
BA,2914208,Irajuba,
BA,2914307,Iramaia,
BA,2914406,Iraquara,17886.4980180718
BA,2914505,Irará,65100.2432826602
BA,2914604,Irecê,296337.403659835
BA,2914653,Itabela,54457.6380880483
BA,2914703,Itaberaba,174819.092436647
BA,2914802,Itabuna,787292.090515439
BA,2914901,Itacaré,22746.1030072793
BA,2915007,Itaeté,
BA,2915106,Itagi,
BA,2915205,Itagibá,12016.6180813788
BA,2915304,Itagimirim,1367.9193258469
BA,2915353,Itaguaçu da Bahia,
BA,2915403,Itaju do Colônia,553.0277346552
BA,2915502,Itajuípe,17491.2168112231
BA,2915601,Itamaraju,126709.890803607
BA,2915700,Itamari,
BA,2915809,Itambé,63040.0872106196
BA,2915908,Itanagra,
BA,2916005,Itanhém,36540.9378495994
BA,2916104,Itaparica,9757.4558567193
BA,2916203,Itapé,
BA,2916302,Itapebi,
BA,2916401,Itapetinga,308715.831897813
BA,2916500,Itapicuru,10299.1190368159
BA,2916609,Itapitanga,
BA,2916708,Itaquara,
BA,2916807,Itarantim,45906.683666572
BA,2916856,Itatim,351.8763440675
BA,2916906,Itiruçu,346.6302899689
BA,2917003,Itiúba,41074.8538867253
BA,2917102,Itororó,1752.5530992936
BA,2917201,Ituaçu,900.810056354
BA,2917300,Ituberá,41901.0054614223
BA,2917334,Iuiú,
BA,2917359,Jaborandi,
BA,2917409,Jacaraci,
BA,2917508,Jacobina,211744.410288936
BA,2917607,Jaguaquara,81905.3173461453
BA,2917706,Jaguarari,37182.9791775815
BA,2917805,Jaguaripe,
BA,2917904,Jandaíra,
BA,2918001,Jequié,393140.622948178
BA,2918100,Jeremoabo,109277.126148452
BA,2918209,Jiquiriçá,
BA,2918308,Jitaúna,
BA,2918357,João Dourado,
BA,2918407,Juazeiro,707752.457419374
BA,2918456,Jucuruçu,
BA,2918506,Jussara,
BA,2918555,Jussari,
BA,2918605,Jussiape,
BA,2918704,Lafaiete Coutinho,
BA,2918753,Lagoa Real,
BA,2918803,Laje,
BA,2918902,Lajedão,
BA,2919009,Lajedinho,
BA,2919058,Lajedo do Tabocal,
BA,2919108,Lamarão,
BA,2919157,Lapão,24749.2599796041
BA,2919207,Lauro de Freitas,928838.362229159
BA,2919306,Lençóis,12393.2720771232
BA,2919405,Licínio de Almeida,22415.773113094
BA,2919504,Livramento de Nossa Senhora,155561.695911548
BA,2919553,Luís Eduardo Magalhães,999956.889274637
BA,2919603,Macajuba,
BA,2919702,Macarani,30113.5414986017
BA,2919801,Macaúbas,89876.3036418893
BA,2919900,Macururé,
BA,2919926,Madre de Deus,23480.0286008936
BA,2919959,Maetinga,
BA,2920007,Maiquinique,1575.7816403515
BA,2920106,Mairi,372.6724200732
BA,2920205,Malhada,
BA,2920304,Malhada de Pedras,221.35985603
BA,2920403,Manoel Vitorino,
BA,2920452,Mansidão,
BA,2920502,Maracás,48444.1943461183
BA,2920601,Maragogipe,32672.725075873
BA,2920700,Maraú,
BA,2920809,Marcionílio Souza,
BA,2920908,Mascote,
BA,2921005,Mata de São João,47548.4807066235
BA,2921054,Matina,
BA,2921104,Medeiros Neto,83315.4943159372
BA,2921203,Miguel Calmon,44523.0729947585
BA,2921302,Milagres,911.6513181101
BA,2921401,Mirangaba,
BA,2921450,Mirante,
BA,2921500,Monte Santo,38867.3904532452
BA,2921609,Morpará,
BA,2921708,Morro do Chapéu,64226.1010325874
BA,2921807,Mortugaba,9528.915163336
BA,2921906,Mucugê,30144.1449392964
BA,2922003,Mucuri,25220.031423643
BA,2922052,Mulungu do Morro,
BA,2922102,Mundo Novo,40574.7815460328
BA,2922201,Muniz Ferreira,
BA,2922250,Muquém de São Francisco,
BA,2922300,Muritiba,19306.5549834935
BA,2922409,Mutuípe,37966.1196717064
BA,2922508,Nazaré,63046.9110187699
BA,2922607,Nilo Peçanha,491.141360187
BA,2922656,Nordestina,
BA,2922706,Nova Canaã,86724.288824253
BA,2922730,Nova Fátima,
BA,2922755,Nova Ibiá,
BA,2922805,Nova Itarana,
BA,2922854,Nova Redenção,
BA,2922904,Nova Soure,38079.7949697264
BA,2923001,Nova Viçosa,88061.8348532297
BA,2923035,Novo Horizonte,
BA,2923050,Novo Triunfo,
BA,2923100,Olindina,876.8571596375
BA,2923209,Oliveira dos Brejinhos,17447.0978900357
BA,2923308,Ouriçangas,
BA,2923357,Ourolândia,
BA,2923407,Palmas de Monte Alto,17069.1343496777
BA,2923506,Palmeiras,373.4000420887
BA,2923605,Paramirim,37363.3086775519
BA,2923704,Paratinga,19001.9591942178
BA,2923803,Paripiranga,107534.177834778
BA,2923902,Pau Brasil,
BA,2924009,Paulo Afonso,299930.10539826
BA,2924058,Pé de Serra,
BA,2924108,Pedrão,
BA,2924207,Pedro Alexandre,654.7399291584
BA,2924306,Piatã,570.2653320967
BA,2924405,Pilão Arcado,63824.2265989486
BA,2924504,Pindaí,1298.4613945666
BA,2924603,Pindobaçu,18506.7933798524
BA,2924652,Pintadas,
BA,2924678,Piraí do Norte,
BA,2924702,Piripá,
BA,2924801,Piritiba,26118.4997884593
BA,2924900,Planaltino,394.995933515
BA,2925006,Planalto,12160.2278278735
BA,2925105,Poções,106791.219314819
BA,2925204,Pojuca,38443.82562045
BA,2925253,Ponto Novo,
BA,2925303,Porto Seguro,256990.654685175
BA,2925402,Potiraguá,545.5270586407
BA,2925501,Prado,72390.7607947656
BA,2925600,Presidente Dutra,29589.901730222
BA,2925709,Presidente Jânio Quadros,589.5772867094
BA,2925758,Presidente Tancredo Neves,256.9577677452
BA,2925808,Queimadas,13916.4172871016
BA,2925907,Quijingue,435.9470955969
BA,2925931,Quixabeira,
BA,2925956,Rafael Jambeiro,
BA,2926004,Remanso,69678.7555925182
BA,2926103,Retirolândia,
BA,2926202,Riachão das Neves,121764.620244923
BA,2926301,Riachão do Jacuípe,130657.070473896
BA,2926400,Riacho de Santana,44298.1069687635
BA,2926509,Ribeira do Amparo,
BA,2926608,Ribeira do Pombal,149316.172249245
BA,2926657,Ribeirão do Largo,
BA,2926707,Rio de Contas,25230.5270321266
BA,2926806,Rio do Antônio,9216.9324573507
BA,2926905,Rio do Pires,650.7561658083
BA,2927002,Rio Real,75622.8984785158
BA,2927101,Rodelas,152.8246877267
BA,2927200,Ruy Barbosa,48518.2192759542
BA,2927309,Salinas da Margarida,
BA,2927408,Salvador,15921879.6757469
BA,2927507,Santa Bárbara,
BA,2927606,Santa Brígida,263.2845352403
BA,2927705,Santa Cruz Cabrália,39271.6630205383
BA,2927804,Santa Cruz da Vitória,
BA,2927903,Santa Inês,
BA,2928000,Santaluz,120804.102742325
BA,2928059,Santa Luzia,
BA,2928109,Santa Maria da Vitória,127125.923020276
BA,2928208,Santana,40871.092595162
BA,2928307,Santanópolis,
BA,2928406,Santa Rita de Cássia,63746.21921837
BA,2928505,Santa Teresinha,
BA,2928604,Santo Amaro,197845.724139645
BA,2928703,Santo Antônio de Jesus,315898.400142757
BA,2928802,Santo Estêvão,70954.4948785401
BA,2928901,São Desidério,163714.414009463
BA,2928950,São Domingos,
BA,2929008,São Félix,30508.8301435589
BA,2929057,São Félix do Coribe,
BA,2929107,São Felipe,
BA,2929206,São Francisco do Conde,20881.1351505711
BA,2929255,São Gabriel,650.2214970753
BA,2929305,São Gonçalo dos Campos,43451.216635249
BA,2929354,São José da Vitória,
BA,2929370,São José do Jacuípe,
BA,2929404,São Miguel das Matas,
BA,2929503,São Sebastião do Passé,28666.5577057122
BA,2929602,Sapeaçu,23301.4208042491
BA,2929701,Sátiro Dias,
BA,2929750,Saubara,
BA,2929800,Saúde,19076.0983208943
BA,2929909,Seabra,117457.167918795
BA,2930006,Sebastião Laranjeiras,
BA,2930105,Senhor do Bonfim,184973.716592069
BA,2930154,Serra do Ramalho,31268.464465007
BA,2930204,Sento Sé,38881.9848969912
BA,2930303,Serra Dourada,31533.2532482866
BA,2930402,Serra Preta,315.1425894466
BA,2930501,Serrinha,244697.818510661
BA,2930600,Serrolândia,
BA,2930709,Simões Filho,168840.614367219
BA,2930758,Sítio do Mato,
BA,2930766,Sítio do Quinto,
BA,2930774,Sobradinho,634.6255339105
BA,2930808,Souto Soares,895.1627819377
BA,2930907,Tabocas do Brejo Velho,
BA,2931004,Tanhaçu,23470.6670851726
BA,2931053,Tanque Novo,
BA,2931103,Tanquinho,
BA,2931202,Taperoá,13421.6557558043
BA,2931301,Tapiramutá,723.8115163379
BA,2931350,Teixeira de Freitas,551340.453582271
BA,2931400,Teodoro Sampaio,
BA,2931509,Teofilândia,
BA,2931608,Teolândia,254.908350114
BA,2931707,Terra Nova,
BA,2931806,Tremedal,
BA,2931905,Tucano,73239.1116227406
BA,2932002,Uauá,29597.2960850399
BA,2932101,Ubaíra,
BA,2932200,Ubaitaba,24612.8205696039
BA,2932309,Ubatã,30972.9991725561
BA,2932408,Uibaí,
BA,2932457,Umburanas,
BA,2932507,Una,17081.1460196669
BA,2932606,Urandi,18191.1843772557
BA,2932705,Uruçuca,303.6852773009
BA,2932804,Utinga,32607.4141087917
BA,2932903,Valença,171949.044494865
BA,2933000,Valente,21805.7379655431
BA,2933059,Várzea da Roça,
BA,2933109,Várzea do Poço,
BA,2933158,Várzea Nova,
BA,2933174,Varzedo,
BA,2933208,Vera Cruz,42499.7355592817
BA,2933257,Vereda,
BA,2933307,Vitória da Conquista,1464900.01052591
BA,2933406,Wagner,513.3633653259
BA,2933455,Wanderley,46064.5728310453
BA,2933505,Wenceslau Guimarães,
BA,2933604,Xique-Xique,75943.7456595668
BA,2999919,Trancoso,
BA,2999929,Barcellos,
BA,2999939,Olivença,
BA,2999949,Villa Verde,
CE,2300101,Abaiara,
CE,2300150,Acarapé,
CE,2300200,Acaraú,115693.879878941
CE,2300309,Acopiara,78403.5460453346
CE,2300408,Aiuaba,
CE,2300507,Alcântaras,
CE,2300606,Altaneira,
CE,2300705,Alto Santo,681.9472170663
CE,2300754,Amontada,20040.7308475786
CE,2300804,Antonina do Norte,
CE,2300903,Apuiarés,
CE,2301000,Aquiraz,41963.7410928551
CE,2301109,Aracati,154045.351757859
CE,2301208,Aracoiaba,877.299945855
CE,2301257,Ararendá,
CE,2301307,Araripe,
CE,2301406,Aratuba,
CE,2301505,Arneiroz,
CE,2301604,Assaré,25630.0584616204
CE,2301703,Aurora,20050.6379704272
CE,2301802,Baixio,
CE,2301851,Banabuiú,19124.8376200034
CE,2301901,Barbalha,145628.06758238
CE,2301950,Barreira,
CE,2302008,Barro,33225.3927185746
CE,2302057,Barroquinha,
CE,2302107,Baturité,91678.6846293327
CE,2302206,Beberibe,28676.7291001769
CE,2302305,Bela Cruz,27725.1119505795
CE,2302404,Boa Viagem,94342.0117874814
CE,2302503,Brejo Santo,130230.988497712
CE,2302602,Camocim,112934.927086637
CE,2302701,Campos Sales,67033.5756687144
CE,2302800,Canindé,121168.052011392
CE,2302909,Capistrano,
CE,2303006,Caridade,387.4011873061
CE,2303105,Cariré,
CE,2303204,Caririaçu,15794.8476824721
CE,2303303,Cariús,
CE,2303402,Carnaubal,
CE,2303501,Cascavel,144105.169580122
CE,2303600,Catarina,
CE,2303659,Catunda,
CE,2303709,Caucaia,605752.285611133
CE,2303808,Cedro,12710.3945160107
CE,2303907,Chaval,
CE,2303931,Choró,
CE,2303956,Chorozinho,
CE,2304004,Coreaú,
CE,2304103,Crateús,219760.162183762
CE,2304202,Crato,254334.820327396
CE,2304236,Croatá,
CE,2304251,Cruz,
CE,2304269,Deputado Irapuan Pinheiro,
CE,2304277,Ererê,
CE,2304285,Eusébio,379604.713472042
CE,2304301,Farias Brito,
CE,2304350,Forquilha,10921.322492168
CE,2304400,Fortaleza,17074373.0448619
CE,2304459,Fortim,
CE,2304509,Frecheirinha,331.936525599
CE,2304608,General Sampaio,
CE,2304657,Graça,
CE,2304707,Granja,48118.3544441899
CE,2304806,Granjeiro,
CE,2304905,Groaíras,
CE,2304954,Guaiúba,
CE,2305001,Guaraciaba do Norte,19598.0373876659
CE,2305100,Guaramiranga,
CE,2305209,Hidrolândia,7833.6963161718
CE,2305233,Horizonte,149453.194894451
CE,2305266,Ibaretama,
CE,2305308,Ibiapina,962.2322053511
CE,2305332,Ibicuitinga,
CE,2305357,Icapuí,20058.3280994379
CE,2305407,Icó,97272.814636184
CE,2305506,Iguatu,383064.212252691
CE,2305605,Independência,993.7444078775
CE,2305654,Ipaporanga,
CE,2305704,Ipaumirim,578.1322255657
CE,2305803,Ipu,84803.6878545593
CE,2305902,Ipueiras,19277.385785112
CE,2306009,Iracema,
CE,2306108,Irauçuba,
CE,2306207,Itaiçaba,
CE,2306256,Itaitinga,152311.236416673
CE,2306306,Itapagé,68793.6937617832
CE,2306405,Itapipoca,190933.391998542
CE,2306504,Itapiúna,
CE,2306553,Itarema,24883.7138521983
CE,2306603,Itatira,
CE,2306702,Jaguaretama,
CE,2306801,Jaguaribara,
CE,2306900,Jaguaribe,117532.137050861
CE,2307007,Jaguaruana,15678.3883442328
CE,2307106,Jardim,15868.5155831049
CE,2307205,Jati,
CE,2307254,Jijoca de Jericoacoara,10459.2313206282
CE,2307304,Juazeiro do Norte,709804.8988604
CE,2307403,Jucás,36035.0519708912
CE,2307502,Lavras da Mangabeira,25202.699756007
CE,2307601,Limoeiro do Norte,164892.521122205
CE,2307635,Madalena,
CE,2307650,Maracanaú,684021.896701319
CE,2307700,Maranguape,153000.388098025
CE,2307809,Marco,60008.4914301043
CE,2307908,Martinópole,
CE,2308005,Massapê,18556.2423620096
CE,2308104,Mauriti,27098.2881173056
CE,2308203,Meruoca,
CE,2308302,Milagres,1020.0880001398
CE,2308351,Milhã,
CE,2308377,Miraíma,
CE,2308401,Missão Velha,695.8971705965
CE,2308500,Mombaça,57089.3475975456
CE,2308609,Monsenhor Tabosa,
CE,2308708,Morada Nova,112994.575903085
CE,2308807,Moraújo,
CE,2308906,Morrinhos,
CE,2309003,Mucambo,
CE,2309102,Mulungu,
CE,2309201,Nova Olinda,
