UF,COD,MUN,COTA_PARTE_FPM
AM,1302009,Itapiranga,15798561.46
AM,1302108,Japurá,15798561.46
AM,1302207,Juruá,19943520.72
AM,1302306,Jutaí,27530373.18
AM,1302405,Lábrea,43875745.58
AM,1302504,Manacapuru,83973374.69
AM,1302553,Manaquiri,31909633.14
AM,1302603,Manaus,974078300.37
AM,1302702,Manicoré,43875745.58
AM,1302801,Maraã,23932224.85
AM,1302900,Maués,47865361.78
AM,1303007,Nhamundá,23028827.32
AM,1303106,Nova Olinda do Norte,35898345.67
AM,1303205,Novo Airão,25686742.65
AM,1303304,Novo Aripuanã,27920929.03
AM,1303403,Parintins,67807970.42
AM,1303502,Pauini,29237176.65
AM,1303536,Presidente Figueiredo,35898337.36
AM,1303569,Rio Preto da Eva,31909633.14
AM,1303601,Santa Isabel do Rio Negro,31029415.37
AM,1303700,Santo Antônio do Içá,27920929.03
AM,1303809,São Gabriel da Cachoeira,39603058.64
AM,1303908,São Paulo de Olivença,35898337.36
AM,1303957,São Sebastião do Uatumã,19943520.72
AM,1304005,Silves,11966112.47
AM,1304062,Tabatinga,51853153.92
AM,1304104,Tapauá,27570734.17
AM,1304203,Tefé,47864449.71
AM,1304237,Tonantins,23932224.85
AM,1304260,Uarini,19943520.72
AM,1304302,Urucará,23932224.85
AM,1304401,Urucurituba,27920929.03
AP,1600055,Serra do Navio,8953727.9
AP,1600105,Amapá,7514933.46
AP,1600154,Pedra Branca do Amaparí,15029866.88
AP,1600204,Calçoene,
AP,1600212,Cutias,
AP,1600238,Ferreira Gomes,7514933.46
AP,1600253,Itaubal,7514933.46
AP,1600279,Laranjal do Jari,27554755.96
AP,1600303,Macapá,494769930.38
AP,1600402,Mazagão,15029866.87
AP,1600501,Oiapoque,17534844.71
AP,1600535,Porto Grande,15029946.56
AP,1600550,Pracuúba,7514933.46
AP,1600600,Santana,42584612.85
AP,1600709,Tartarugalzinho,
AP,1600808,Vitória do Jari,12524889.05
BA,2900108,Abaíra,13128425.26
BA,2900207,Abaré,32141051.89
BA,2900306,Acajutiba,26784209.96
BA,2900355,Adustina,32141051.89
BA,2900405,Água Fria,26256850.1
BA,2900504,Érico Cardoso,21427367.92
BA,2900603,Aiquara,16070526
BA,2900702,Alagoinhas,161284910.58
BA,2900801,Alcobaça,32141051.89
BA,2900900,Almadina,16070526
BA,2901007,Amargosa,48211577.89
BA,2901106,Amélia Rodrigues,37497893.89
BA,2901155,América Dourada,26784209.96
BA,2901205,Anagé,32141051.89
BA,2901304,Andaraí,26784209.96
BA,2901353,Andorinha,26784209.96
BA,2901403,Angical,26784209.96
BA,2901502,Anguera,21427367.92
BA,2901601,Antas,32141051.89
BA,2901700,Antônio Cardoso,21427367.92
BA,2901809,Antônio Gonçalves,21427367.92
BA,2901908,Aporá,32141051.89
BA,2901957,Apuarema,16070526
BA,2902005,Aracatu,26601958.69
BA,2902054,Araças,21427367.92
BA,2902104,Araci,58925261.89
BA,2902203,Aramari,21427367.92
BA,2902252,Arataca,21427367.92
BA,2902302,Aratuípe,16070526
BA,2902401,Aurelino Leal,20816648.4
BA,2902500,Baianópolis,26784209.96
BA,2902609,Baixa Grande,32141051.89
BA,2902658,Banzaê,26784209.96
BA,2902708,Barra,58925261.89
BA,2902807,Barra da Estiva,32141051.89
BA,2902906,Barra do Choça,42854735.89
BA,2903003,Barra do Mendes,21953198.44
BA,2903102,Barra do Rocha,16070526
BA,2903201,Barreiras,166641752.53
BA,2903235,Barro Alto,26784209.96
BA,2903276,Barrocas,26773452.22
BA,2903300,Governador Lomanto Júnior,16801429.72
BA,2903409,Belmonte,37497893.89
BA,2903508,Belo Campo,26256850.1
BA,2903607,Biritinga,26784209.96
BA,2903706,Boa Nova,26784209.96
BA,2903805,Boa Vista do Tupim,32141051.89
BA,2903904,Bom Jesus da Lapa,64282103.83
BA,2903953,Bom Jesus da Serra,17504566.84
BA,2904001,Boninal,26784209.96
BA,2904050,Bonito,32141604.32
BA,2904100,Boquira,32141051.89
BA,2904209,Botuporã,17504566.84
BA,2904308,Brejões,26784209.96
BA,2904407,Brejolândia,21427367.92
BA,2904506,Brotas de Macaúbas,21427367.92
BA,2904605,Brumado,64282103.83
BA,2904704,Buerarema,32141051.89
BA,2904753,Buritirama,32141051.89
BA,2904803,Caatiba,
BA,2904852,Cabaceiras do Paraguaçu,32141051.89
BA,2904902,Cachoeira,42854735.89
BA,2905008,Caculé,37497893.09
BA,2905107,Caém,16070526
BA,2905156,Caetanos,26784209.96
BA,2905206,Caetité,58925241.89
BA,2905305,Cafarnaum,32141051.89
BA,2905404,Cairu,32141051.89
BA,2905503,Caldeirão Grande,26784209.96
BA,2905602,Camacan,42854735.89
BA,2905701,Camaçari,166641752.53
BA,2905800,Camamu,42854735.89
BA,2905909,Campo Alegre de Lourdes,37497893.89
BA,2906006,Campo Formoso,69638945.8
BA,2906105,Canápolis,16070526
BA,2906204,Canarana,37497893.89
BA,2906303,Canavieiras,42854735.89
BA,2906402,Candeal,16070526
BA,2906501,Candeias,74995787.85
BA,2906600,Candiba,26784209.96
BA,2906709,Cândido Sales,37497893.89
BA,2906808,Cansanção,42854735.89
BA,2906824,Canudos,32141051.89
BA,2906857,Capela do Alto Alegre,21427367.92
BA,2906873,Capim Grosso,42854735.89
BA,2906899,Caraíbas,16070526
BA,2906907,Caravelas,32141051.89
BA,2907004,Cardeal da Silva,16070526
BA,2907103,Carinhanha,37497893.89
BA,2907202,Casa Nova,69638945.8
BA,2907301,Castro Alves,37497893.89
BA,2907400,Catolândia,16070526
BA,2907509,Catu,58925261.89
BA,2907558,Caturama,16070526
BA,2907608,Central,32141051.89
BA,2907707,Chorrochó,21427367.92
BA,2907806,Cícero Dantas,42854735.89
BA,2907905,Cipó,32141051.89
BA,2908002,Coaraci,32141051.89
BA,2908101,Cocos,32141051.89
BA,2908200,Conceição da Feira,32141051.89
BA,2908309,Conceição do Almeida,32141051.89
BA,2908408,Conceição do Coité,64282103.83
BA,2908507,Conceição do Jacuípe,42854735.89
BA,2908606,Conde,37497893.89
BA,2908705,Condeúba,32141051.89
BA,2908804,Contendas do Sincorá,13128425.26
BA,2908903,Coração de Maria,37497893.89
BA,2909000,Cordeiros,16070526
BA,2909109,Coribe,26784209.96
BA,2909208,Coronel João Sá,32141051.89
BA,2909307,Correntina,42854735.89
BA,2909406,Cotegipe,26784209.96
BA,2909505,Cravolândia,16070526
BA,2909604,Crisópolis,32141051.89
BA,2909703,Cristópolis,26784209.96
BA,2909802,Cruz das Almas,64282103.83
BA,2909901,Curaçá,42854735.89
BA,2910008,Dário Meira,21427367.92
BA,2910057,Dias d'Ávila,74995787.85
BA,2910107,Dom Basílio,21427367.92
BA,2910206,Dom Macedo Costa,16070526
BA,2910305,Elísio Medrado,16070526
BA,2910404,Encruzilhada,26257339.7
BA,2910503,Entre Rios,48211577.89
BA,2910602,Esplanada,48211577.89
BA,2910701,Euclides da Cunha,64282103.83
BA,2910727,Eunápolis,85709471.77
BA,2910750,Fátima,32141051.89
BA,2910776,Feira da Mata,16070526
BA,2910800,Feira de Santana,166641752.53
BA,2910859,Filadélfia,32141051.89
BA,2910909,Firmino Alves,16070526
BA,2911006,Floresta Azul,21427367.92
BA,2911105,Formosa do Rio Preto,37497893.89
BA,2911204,Gandu,42854735.89
BA,2911253,Gavião,13128425.26
BA,2911303,Gentio do Ouro,21427367.92
BA,2911402,Glória,26784209.96
BA,2911501,Gongogi,16070526
BA,2911600,Governador Mangabeira,32141051.89
BA,2911659,Guajeru,12042451.56
BA,2911709,Guanambi,74995787.85
BA,2911808,Guaratinga,32141051.89
BA,2911857,Heliópolis,26784209.96
BA,2911907,Iaçu,37497893.89
BA,2912004,Ibiassucê,21427367.92
BA,2912103,Ibicaraí,32141051.89
BA,2912202,Ibicoara,32141051.89
BA,2912301,Ibicuí,21880708.52
BA,2912400,Ibipeba,32141051.89
BA,2912509,Ibipitanga,26784209.96
BA,2912608,Ibiquera,16070526
BA,2912707,Ibirapitanga,37497893.89
BA,2912806,Ibirapuã,16070526
BA,2912905,Ibirataia,32141051.89
BA,2913002,Ibitiara,26784209.96
BA,2913101,Ibititá,32141051.89
BA,2913200,Ibotirama,37497893.89
BA,2913309,Ichu,15961175.24
BA,2913408,Igaporã,26784209.96
BA,2913457,Igrapiúna,26784209.96
BA,2913507,Iguaí,37497893.89
BA,2913606,Ilhéus,166621752.53
BA,2913705,Inhambupe,48211577.89
BA,2913804,Ipecaetá,26784209.96
BA,2913903,Ipiaú,53568419.86
BA,2914000,Ipirá,64282103.83
BA,2914109,Ipupiara,13128425.26
BA,2914208,Irajuba,16070526
BA,2914307,Iramaia,16070526
BA,2914406,Iraquara,37497893.89
BA,2914505,Irará,37497893.89
BA,2914604,Irecê,69638945.8
BA,2914653,Itabela,42854735.89
BA,2914703,Itaberaba,64282103.83
BA,2914802,Itabuna,166641752.53
BA,2914901,Itacaré,37497893.89
BA,2915007,Itaeté,26784209.96
BA,2915106,Itagi,17504566.84
BA,2915205,Itagibá,26784209.96
BA,2915304,Itagimirim,16070526
BA,2915353,Itaguaçu da Bahia,26784209.96
BA,2915403,Itaju do Colônia,16070526
BA,2915502,Itajuípe,32141051.89
BA,2915601,Itamaraju,64282103.83
BA,2915700,Itamari,16070526
BA,2915809,Itambé,37497893.89
BA,2915908,Itanagra,13128425.26
BA,2916005,Itanhém,32141051.89
BA,2916104,Itaparica,32141051.89
BA,2916203,Itapé,16070526
BA,2916302,Itapebi,21427367.92
BA,2916401,Itapetinga,69638945.8
BA,2916500,Itapicuru,42854735.89
BA,2916609,Itapitanga,21427367.92
BA,2916708,Itaquara,16070526
BA,2916807,Itarantim,32141051.89
BA,2916856,Itatim,26784209.96
BA,2916906,Itiruçu,21427367.92
BA,2917003,Itiúba,48211577.89
BA,2917102,Itororó,32141051.89
BA,2917201,Ituaçu,32141051.89
BA,2917300,Ituberá,37497893.89
BA,2917334,Iuiú,21427367.92
BA,2917359,Jaborandi,16070526
BA,2917409,Jacaraci,26784209.96
BA,2917508,Jacobina,76272553.53
BA,2917607,Jaguaquara,58925261.89
BA,2917706,Jaguarari,42854735.89
BA,2917805,Jaguaripe,32141051.89
BA,2917904,Jandaíra,21427367.92
BA,2918001,Jequié,166641752.53
BA,2918100,Jeremoabo,48211577.89
BA,2918209,Jiquiriçá,26784209.96
BA,2918308,Jitaúna,21427367.92
BA,2918357,João Dourado,37539822.84
BA,2918407,Juazeiro,166641752.53
BA,2918456,Jucuruçu,16092937.43
BA,2918506,Jussara,26784209.96
BA,2918555,Jussari,16070526
BA,2918605,Jussiape,16070526
BA,2918704,Lafaiete Coutinho,16070526
BA,2918753,Lagoa Real,26784209.96
BA,2918803,Laje,37498667.23
BA,2918902,Lajedão,16070526
BA,2919009,Lajedinho,16070526
BA,2919058,Lajedo do Tabocal,16070526
BA,2919108,Lamarão,13128425.26
BA,2919157,Lapão,37497893.89
BA,2919207,Lauro de Freitas,166641752.53
BA,2919306,Lençóis,21427367.92
BA,2919405,Licínio de Almeida,21427367.92
BA,2919504,Livramento de Nossa Senhora,53568419.86
BA,2919553,Luís Eduardo Magalhães,80352628.18
BA,2919603,Macajuba,21427367.92
BA,2919702,Macarani,32141051.89
BA,2919801,Macaúbas,58925261.89
BA,2919900,Macururé,16070526
BA,2919926,Madre de Deus,32141051.89
BA,2919959,Maetinga,13128425.26
BA,2920007,Maiquinique,21427367.92
BA,2920106,Mairi,32141051.89
BA,2920205,Malhada,32141051.89
BA,2920304,Malhada de Pedras,16070526
BA,2920403,Manoel Vitorino,21880708.52
BA,2920452,Mansidão,26784209.96
BA,2920502,Maracás,32141051.89
BA,2920601,Maragogipe,53584759.61
BA,2920700,Maraú,32141051.89
BA,2920809,Marcionílio Souza,21427367.92
BA,2920908,Mascote,26784209.96
BA,2921005,Mata de São João,53568419.86
BA,2921054,Matina,21427367.92
BA,2921104,Medeiros Neto,32141051.89
BA,2921203,Miguel Calmon,37497893.89
BA,2921302,Milagres,21427367.92
BA,2921401,Mirangaba,32141051.89
BA,2921450,Mirante,16357026
BA,2921500,Monte Santo,58925261.89
BA,2921609,Morpará,16070526
BA,2921708,Morro do Chapéu,42854735.89
BA,2921807,Mortugaba,21427367.92
BA,2921906,Mucugê,16070526
BA,2922003,Mucuri,48211577.89
BA,2922052,Mulungu do Morro,21427367.92
BA,2922102,Mundo Novo,37497893.89
BA,2922201,Muniz Ferreira,16070526
BA,2922250,Muquém de São Francisco,21427367.92
BA,2922300,Muritiba,42854735.89
BA,2922409,Mutuípe,32141051.89
BA,2922508,Nazaré,37497893.89
BA,2922607,Nilo Peçanha,26784209.96
BA,2922656,Nordestina,26784209.96
BA,2922706,Nova Canaã,32141051.89
BA,2922730,Nova Fátima,16070526
BA,2922755,Nova Ibiá,16070526
BA,2922805,Nova Itarana,16070526
BA,2922854,Nova Redenção,16070526
BA,2922904,Nova Soure,37497893.89
BA,2923001,Nova Viçosa,53568419.86
BA,2923035,Novo Horizonte,21427367.92
BA,2923050,Novo Triunfo,26784209.96
BA,2923100,Olindina,37497893.89
BA,2923209,Oliveira dos Brejinhos,32141051.89
BA,2923308,Ouriçangas,16070526
BA,2923357,Ourolândia,32141051.89
BA,2923407,Palmas de Monte Alto,32141051.89
BA,2923506,Palmeiras,16070526
BA,2923605,Paramirim,32141051.89
BA,2923704,Paratinga,42854735.89
BA,2923803,Paripiranga,37497893.89
BA,2923902,Pau Brasil,21427367.92
BA,2924009,Paulo Afonso,91066313.81
BA,2924058,Pé de Serra,26784209.96
BA,2924108,Pedrão,16070526
BA,2924207,Pedro Alexandre,32141051.89
BA,2924306,Piatã,32141051.89
BA,2924405,Pilão Arcado,42854735.89
BA,2924504,Pindaí,26784209.96
BA,2924603,Pindobaçu,32141051.89
BA,2924652,Pintadas,21427367.92
BA,2924678,Piraí do Norte,21428390.78
BA,2924702,Piripá,21427367.92
BA,2924801,Piritiba,37497893.89
BA,2924900,Planaltino,16070526
BA,2925006,Planalto,37497893.89
BA,2925105,Poções,53568419.86
BA,2925204,Pojuca,48211577.89
BA,2925253,Ponto Novo,26784209.96
BA,2925303,Porto Seguro,161284910.58
BA,2925402,Potiraguá,14006488.56
BA,2925501,Prado,37497893.89
BA,2925600,Presidente Dutra,26784209.96
BA,2925709,Presidente Jânio Quadros,21399414.55
BA,2925758,Presidente Tancredo Neves,37497893.89
BA,2925808,Queimadas,37497893.89
BA,2925907,Quijingue,37497893.89
BA,2925931,Quixabeira,16070526
BA,2925956,Rafael Jambeiro,32141051.89
BA,2926004,Remanso,48211577.89
BA,2926103,Retirolândia,26784209.96
BA,2926202,Riachão das Neves,32141051.89
BA,2926301,Riachão do Jacuípe,42854735.89
BA,2926400,Riacho de Santana,42563133.86
BA,2926509,Ribeira do Amparo,26784209.96
BA,2926608,Ribeira do Pombal,58925261.89
BA,2926657,Ribeirão do Largo,16070526
BA,2926707,Rio de Contas,21880708.52
BA,2926806,Rio do Antônio,26784209.96
BA,2926905,Rio do Pires,21427367.92
BA,2927002,Rio Real,48211577.89
BA,2927101,Rodelas,21427367.92
BA,2927200,Ruy Barbosa,42854735.89
BA,2927309,Salinas da Margarida,26784209.96
BA,2927408,Salvador,1391540429.14
BA,2927507,Santa Bárbara,32141051.89
BA,2927606,Santa Brígida,26601958.69
BA,2927705,Santa Cruz Cabrália,37497893.89
BA,2927804,Santa Cruz da Vitória,16070526
BA,2927903,Santa Inês,21427367.92
BA,2928000,Santaluz,48211577.89
BA,2928059,Santa Luzia,21427367.92
BA,2928109,Santa Maria da Vitória,48211577.89
BA,2928208,Santana,37497893.89
BA,2928307,Santanópolis,16074623.97
BA,2928406,Santa Rita de Cássia,37497893.89
BA,2928505,Santa Teresinha,21442268.82
BA,2928604,Santo Amaro,64282103.83
BA,2928703,Santo Antônio de Jesus,85709471.77
BA,2928802,Santo Estêvão,58925261.89
BA,2928901,São Desidério,42854735.89
BA,2928950,São Domingos,13128425.26
BA,2929008,São Félix,26784209.96
BA,2929057,São Félix do Coribe,26784209.96
BA,2929107,São Felipe,32141051.89
BA,2929206,São Francisco do Conde,48211577.89
BA,2929255,São Gabriel,32141051.89
BA,2929305,São Gonçalo dos Campos,48211577.89
BA,2929354,São José da Vitória,16070526
BA,2929370,São José do Jacuípe,21427367.92
BA,2929404,São Miguel das Matas,21427367.92
BA,2929503,São Sebastião do Passé,53568419.86
BA,2929602,Sapeaçu,32141051.89
BA,2929701,Sátiro Dias,32141051.89
BA,2929750,Saubara,21427367.92
BA,2929800,Saúde,21427367.92
BA,2929909,Seabra,53568419.86
BA,2930006,Sebastião Laranjeiras,21427367.92
BA,2930105,Senhor do Bonfim,69638945.8
BA,2930154,Serra do Ramalho,42854735.89
BA,2930204,Sento Sé,48211577.89
BA,2930303,Serra Dourada,32141051.89
BA,2930402,Serra Preta,26784209.96
BA,2930501,Serrinha,74995787.85
BA,2930600,Serrolândia,26784209.96
BA,2930709,Simões Filho,96423155.77
BA,2930758,Sítio do Mato,21427367.92
BA,2930766,Sítio do Quinto,21427367.92
BA,2930774,Sobradinho,32141051.89
BA,2930808,Souto Soares,32141051.89
BA,2930907,Tabocas do Brejo Velho,21427367.92
BA,2931004,Tanhaçu,26256850.1
BA,2931053,Tanque Novo,26256850.1
BA,2931103,Tanquinho,16070526
BA,2931202,Taperoá,32141051.89
BA,2931301,Tapiramutá,32141051.89
BA,2931350,Teixeira de Freitas,165509686.43
BA,2931400,Teodoro Sampaio,16070526
BA,2931509,Teofilândia,32141051.89
BA,2931608,Teolândia,26784209.96
BA,2931707,Terra Nova,21427367.92
BA,2931806,Tremedal,26256850.1
BA,2931905,Tucano,58925261.89
BA,2932002,Uauá,37497893.89
BA,2932101,Ubaíra,32141051.89
BA,2932200,Ubaitaba,32141051.89
BA,2932309,Ubatã,37497893.89
BA,2932408,Uibaí,26784209.96
BA,2932457,Umburanas,32141051.89
BA,2932507,Una,32141051.89
BA,2932606,Urandi,32141051.89
BA,2932705,Uruçuca,32177968.92
BA,2932804,Utinga,32141051.89
BA,2932903,Valença,80352629.84
BA,2933000,Valente,37497893.89
BA,2933059,Várzea da Roça,26784209.96
BA,2933109,Várzea do Poço,16070526
BA,2933158,Várzea Nova,21427367.92
BA,2933174,Varzedo,16070526
BA,2933208,Vera Cruz,53568419.86
BA,2933257,Vereda,16070526
BA,2933307,Vitória da Conquista,166641752.53
BA,2933406,Wagner,16070526
BA,2933455,Wanderley,21427367.92
BA,2933505,Wenceslau Guimarães,32141051.89
BA,2933604,Xique-Xique,53568419.86
BA,2999919,Trancoso,
BA,2999929,Barcellos,
BA,2999939,Olivença,
BA,2999949,Villa Verde,
CE,2300101,Abaiara,21140682.64
CE,2300150,Acarapé,26425853.33
CE,2300200,Acaraú,63422048.01
CE,2300309,Acopiara,58136877.3
CE,2300408,Aiuaba,31711023.95
CE,2300507,Alcântaras,21140682.64
CE,2300606,Altaneira,15855511.97
CE,2300705,Alto Santo,26425853.33
CE,2300754,Amontada,52851706.67
CE,2300804,Antonina do Norte,15855511.97
CE,2300903,Apuiarés,26425853.33
CE,2301000,Aquiraz,73992389.35
CE,2301109,Aracati,68707218.68
CE,2301208,Aracoiaba,36996238.22
CE,2301257,Ararendá,21140682.16
CE,2301307,Araripe,31711023.95
CE,2301406,Aratuba,21140682.64
CE,2301505,Arneiroz,15855511.97
CE,2301604,Assaré,31711023.95
CE,2301703,Aurora,36996194.72
CE,2301802,Baixio,15855511.97
CE,2301851,Banabuiú,31711023.95
CE,2301901,Barbalha,63422048.01
CE,2301950,Barreira,31711023.95
CE,2302008,Barro,31691229.42
CE,2302057,Barroquinha,26425853.33
CE,2302107,Baturité,42281365.33
CE,2302206,Beberibe,58136877.3
CE,2302305,Bela Cruz,42281365.33
CE,2302404,Boa Viagem,58136877.3
CE,2302503,Brejo Santo,52852849.51
CE,2302602,Camocim,63422048.01
CE,2302701,Campos Sales,36996194.72
CE,2302800,Canindé,71243221.38
CE,2302909,Capistrano,31711023.95
CE,2303006,Caridade,31717023.87
CE,2303105,Cariré,31711023.95
CE,2303204,Caririaçu,36996194.72
CE,2303303,Cariús,31711023.95
CE,2303402,Carnaubal,31711023.95
CE,2303501,Cascavel,68707218.68
CE,2303600,Catarina,31711023.95
CE,2303659,Catunda,21143682.65
CE,2303709,Caucaia,171819983.19
CE,2303808,Cedro,36996194.72
CE,2303907,Chaval,21140682.64
CE,2303931,Choró,26425853.33
CE,2303956,Chorozinho,31711023.95
CE,2304004,Coreaú,31711023.95
CE,2304103,Crateús,68707218.68
CE,2304202,Crato,95133071.98
CE,2304236,Croatá,31711023.95
CE,2304251,Cruz,36996194.72
CE,2304269,Deputado Irapuan Pinheiro,15855546.86
CE,2304277,Ererê,15849540.87
CE,2304285,Eusébio,58136877.3
CE,2304301,Farias Brito,31711023.95
CE,2304350,Forquilha,36996194.72
CE,2304400,Fortaleza,1546156032.34
CE,2304459,Fortim,26425853.33
CE,2304509,Frecheirinha,26425853.33
CE,2304608,General Sampaio,15855511.97
CE,2304657,Graça,26425853.33
CE,2304707,Granja,58136877.3
CE,2304806,Granjeiro,15855511.97
CE,2304905,Groaíras,21140682.64
CE,2304954,Guaiúba,36996194.72
CE,2305001,Guaraciaba do Norte,47566535.94
CE,2305100,Guaramiranga,15855511.97
CE,2305209,Hidrolândia,31711023.52
CE,2305233,Horizonte,63422048.01
CE,2305266,Ibaretama,21140682.64
CE,2305308,Ibiapina,36996194.72
