UF,COD,MUNICIPIO,RECEITA_IPTU
AM,1303304,Novo Aripuanã,241032.07
AM,1303403,Parintins,1264058.68
AM,1303502,Pauini,64.44
AM,1303536,Presidente Figueiredo,450911.81
AM,1303569,Rio Preto da Eva,217246.81
AM,1303601,Santa Isabel do Rio Negro,13161.69
AM,1303700,Santo Antônio do Içá,1266.22
AM,1303809,São Gabriel da Cachoeira,223417.14
AM,1303908,São Paulo de Olivença,34059.66
AM,1303957,São Sebastião do Uatumã,8145.69
AM,1304005,Silves,162.7
AM,1304062,Tabatinga,437928.54
AM,1304104,Tapauá,80371.81
AM,1304203,Tefé,524766.16
AM,1304237,Tonantins,5263.76
AM,1304260,Uarini,5798.1
AM,1304302,Urucará,79511.14
AM,1304401,Urucurituba,114994.28
AP,1600055,Serra do Navio,80512.56
AP,1600105,Amapá,2714.7
AP,1600154,Pedra Branca do Amaparí,499201.71
AP,1600204,Calçoene,
AP,1600212,Cutias,
AP,1600238,Ferreira Gomes,
AP,1600253,Itaubal,3681.41
AP,1600279,Laranjal do Jari,220949.27
AP,1600303,Macapá,17658016.56
AP,1600402,Mazagão,
AP,1600501,Oiapoque,
AP,1600535,Porto Grande,66572.98
AP,1600550,Pracuúba,190.53
AP,1600600,Santana,2091254.01
AP,1600709,Tartarugalzinho,
AP,1600808,Vitória do Jari,10023.65
BA,2900108,Abaíra,49309.01
BA,2900207,Abaré,57635.77
BA,2900306,Acajutiba,155026.71
BA,2900355,Adustina,46911.03
BA,2900405,Água Fria,34926.94
BA,2900504,Érico Cardoso,12084.55
BA,2900603,Aiquara,15996.07
BA,2900702,Alagoinhas,9807593.39
BA,2900801,Alcobaça,1818252.01
BA,2900900,Almadina,48031.08
BA,2901007,Amargosa,2077130.75
BA,2901106,Amélia Rodrigues,749212.58
BA,2901155,América Dourada,25391.76
BA,2901205,Anagé,139967.62
BA,2901304,Andaraí,630615.74
BA,2901353,Andorinha,239739.22
BA,2901403,Angical,189726.91
BA,2901502,Anguera,58367.77
BA,2901601,Antas,42348.42
BA,2901700,Antônio Cardoso,29875.4
BA,2901809,Antônio Gonçalves,56452.39
BA,2901908,Aporá,138163.09
BA,2901957,Apuarema,101420.76
BA,2902005,Aracatu,
BA,2902054,Araças,130882.71
BA,2902104,Araci,273790.69
BA,2902203,Aramari,48148.19
BA,2902252,Arataca,12149.46
BA,2902302,Aratuípe,10463.54
BA,2902401,Aurelino Leal,23575.5
BA,2902500,Baianópolis,135473.07
BA,2902609,Baixa Grande,194416.37
BA,2902658,Banzaê,51219.24
BA,2902708,Barra,826996.2
BA,2902807,Barra da Estiva,330434.58
BA,2902906,Barra do Choça,737952.64
BA,2903003,Barra do Mendes,412519.2
BA,2903102,Barra do Rocha,31746.45
BA,2903201,Barreiras,12239957.5
BA,2903235,Barro Alto,26346.43
BA,2903276,Barrocas,74915.18
BA,2903300,Governador Lomanto Júnior,70092.26
BA,2903409,Belmonte,107814.52
BA,2903508,Belo Campo,345798.41
BA,2903607,Biritinga,55261.06
BA,2903706,Boa Nova,81173.96
BA,2903805,Boa Vista do Tupim,54779.76
BA,2903904,Bom Jesus da Lapa,1188878.84
BA,2903953,Bom Jesus da Serra,29834.28
BA,2904001,Boninal,159981.88
BA,2904050,Bonito,35649.47
BA,2904100,Boquira,301871.57
BA,2904209,Botuporã,64879.23
BA,2904308,Brejões,59153.05
BA,2904407,Brejolândia,
BA,2904506,Brotas de Macaúbas,31457.11
BA,2904605,Brumado,4221452.3
BA,2904704,Buerarema,284820.86
BA,2904753,Buritirama,152261.73
BA,2904803,Caatiba,
BA,2904852,Cabaceiras do Paraguaçu,69985.85
BA,2904902,Cachoeira,
BA,2905008,Caculé,657360.79
BA,2905107,Caém,59032.23
BA,2905156,Caetanos,21981.91
BA,2905206,Caetité,558337.43
BA,2905305,Cafarnaum,156469.27
BA,2905404,Cairu,2558012.82
BA,2905503,Caldeirão Grande,14048.12
BA,2905602,Camacan,939232.11
BA,2905701,Camaçari,259779725.15
BA,2905800,Camamu,189525.33
BA,2905909,Campo Alegre de Lourdes,
BA,2906006,Campo Formoso,1517556.91
BA,2906105,Canápolis,100687.6
BA,2906204,Canarana,37713.54
BA,2906303,Canavieiras,1259988.48
BA,2906402,Candeal,34707.04
BA,2906501,Candeias,21201588.3
BA,2906600,Candiba,10073.09
BA,2906709,Cândido Sales,829771.51
BA,2906808,Cansanção,280043.93
BA,2906824,Canudos,89922.96
BA,2906857,Capela do Alto Alegre,152430.86
BA,2906873,Capim Grosso,641190.26
BA,2906899,Caraíbas,5074.4
BA,2906907,Caravelas,812903.61
BA,2907004,Cardeal da Silva,106725.67
BA,2907103,Carinhanha,394961.3
BA,2907202,Casa Nova,291957.43
BA,2907301,Castro Alves,421986.36
BA,2907400,Catolândia,7696.92
BA,2907509,Catu,1763673.52
BA,2907558,Caturama,22066.5
BA,2907608,Central,248329.04
BA,2907707,Chorrochó,
BA,2907806,Cícero Dantas,882208.82
BA,2907905,Cipó,411489.67
BA,2908002,Coaraci,328616.38
BA,2908101,Cocos,138433.02
BA,2908200,Conceição da Feira,187051.11
BA,2908309,Conceição do Almeida,227723.11
BA,2908408,Conceição do Coité,1132778.1
BA,2908507,Conceição do Jacuípe,1093984.99
BA,2908606,Conde,831581.92
BA,2908705,Condeúba,226421.82
BA,2908804,Contendas do Sincorá,39340.31
BA,2908903,Coração de Maria,731341.08
BA,2909000,Cordeiros,53383.71
BA,2909109,Coribe,55076.67
BA,2909208,Coronel João Sá,257877.32
BA,2909307,Correntina,1125401.37
BA,2909406,Cotegipe,133952.42
BA,2909505,Cravolândia,2268.64
BA,2909604,Crisópolis,199059.69
BA,2909703,Cristópolis,44449.67
BA,2909802,Cruz das Almas,3496261.18
BA,2909901,Curaçá,351491.29
BA,2910008,Dário Meira,60673.02
BA,2910057,Dias d'Ávila,6999257.47
BA,2910107,Dom Basílio,128754.2
BA,2910206,Dom Macedo Costa,5104.01
BA,2910305,Elísio Medrado,53216.53
BA,2910404,Encruzilhada,158013.77
BA,2910503,Entre Rios,3441407.9
BA,2910602,Esplanada,401663
BA,2910701,Euclides da Cunha,1508829.02
BA,2910727,Eunápolis,7485343.6
BA,2910750,Fátima,60949.81
BA,2910776,Feira da Mata,2616.14
BA,2910800,Feira de Santana,111045140.11
BA,2910859,Filadélfia,93031.12
BA,2910909,Firmino Alves,17282.51
BA,2911006,Floresta Azul,39000.52
BA,2911105,Formosa do Rio Preto,402160.29
BA,2911204,Gandu,708210.6
BA,2911253,Gavião,49066.5
BA,2911303,Gentio do Ouro,21348.11
BA,2911402,Glória,132606.65
BA,2911501,Gongogi,29337.33
BA,2911600,Governador Mangabeira,506587.01
BA,2911659,Guajeru,127674.87
BA,2911709,Guanambi,14254348.57
BA,2911808,Guaratinga,
BA,2911857,Heliópolis,32558.24
BA,2911907,Iaçu,274304.49
BA,2912004,Ibiassucê,67231.61
BA,2912103,Ibicaraí,194627.78
BA,2912202,Ibicoara,66478.95
BA,2912301,Ibicuí,143345.91
BA,2912400,Ibipeba,45293.08
BA,2912509,Ibipitanga,32608.2
BA,2912608,Ibiquera,785
BA,2912707,Ibirapitanga,37756.87
BA,2912806,Ibirapuã,44678.9
BA,2912905,Ibirataia,172115.93
BA,2913002,Ibitiara,34440.49
BA,2913101,Ibititá,125020.67
BA,2913200,Ibotirama,1242408.88
BA,2913309,Ichu,23417.43
BA,2913408,Igaporã,174231.74
BA,2913457,Igrapiúna,109035.48
BA,2913507,Iguaí,77773.27
BA,2913606,Ilhéus,29315182.14
BA,2913705,Inhambupe,505879.05
BA,2913804,Ipecaetá,172052.99
BA,2913903,Ipiaú,1293570.54
BA,2914000,Ipirá,1165042.07
BA,2914109,Ipupiara,190539.53
BA,2914208,Irajuba,15582.19
BA,2914307,Iramaia,3322.05
BA,2914406,Iraquara,67324.26
BA,2914505,Irará,877886.69
BA,2914604,Irecê,4642585.99
BA,2914653,Itabela,391539.29
BA,2914703,Itaberaba,2861396.49
BA,2914802,Itabuna,20092458.83
BA,2914901,Itacaré,
BA,2915007,Itaeté,90689.87
BA,2915106,Itagi,391725.06
BA,2915205,Itagibá,276777.55
BA,2915304,Itagimirim,112902.96
BA,2915353,Itaguaçu da Bahia,169956.8
BA,2915403,Itaju do Colônia,4870.01
BA,2915502,Itajuípe,160201.88
BA,2915601,Itamaraju,1106852.24
BA,2915700,Itamari,61026.45
BA,2915809,Itambé,294716.09
BA,2915908,Itanagra,30869.61
BA,2916005,Itanhém,326535.05
BA,2916104,Itaparica,2943881.33
BA,2916203,Itapé,199710.34
BA,2916302,Itapebi,93334.95
BA,2916401,Itapetinga,3941166.73
BA,2916500,Itapicuru,132840.88
BA,2916609,Itapitanga,52787.68
BA,2916708,Itaquara,32621.43
BA,2916807,Itarantim,247919.88
BA,2916856,Itatim,253259.36
BA,2916906,Itiruçu,64049.77
BA,2917003,Itiúba,301194.89
BA,2917102,Itororó,9858.88
BA,2917201,Ituaçu,77005.14
BA,2917300,Ituberá,509023.2
BA,2917334,Iuiú,51291.07
BA,2917359,Jaborandi,95039.17
BA,2917409,Jacaraci,192789.4
BA,2917508,Jacobina,3780786.4
BA,2917607,Jaguaquara,469602.43
BA,2917706,Jaguarari,265319.42
BA,2917805,Jaguaripe,330822.34
BA,2917904,Jandaíra,34601.67
BA,2918001,Jequié,8600634.86
BA,2918100,Jeremoabo,550698.44
BA,2918209,Jiquiriçá,249066.32
BA,2918308,Jitaúna,59745.06
BA,2918357,João Dourado,368287.04
BA,2918407,Juazeiro,14384563.53
BA,2918456,Jucuruçu,16762.75
BA,2918506,Jussara,99869.42
BA,2918555,Jussari,4513.15
BA,2918605,Jussiape,42302.44
BA,2918704,Lafaiete Coutinho,623.45
BA,2918753,Lagoa Real,89967.29
BA,2918803,Laje,157647.82
BA,2918902,Lajedão,150234.57
BA,2919009,Lajedinho,
BA,2919058,Lajedo do Tabocal,15709.82
BA,2919108,Lamarão,8042.44
BA,2919157,Lapão,543229.51
BA,2919207,Lauro de Freitas,76102460.9
BA,2919306,Lençóis,
BA,2919405,Licínio de Almeida,196410.69
BA,2919504,Livramento de Nossa Senhora,375488.66
BA,2919553,Luís Eduardo Magalhães,35982088.22
BA,2919603,Macajuba,128263.46
BA,2919702,Macarani,479080.72
BA,2919801,Macaúbas,352773.2
BA,2919900,Macururé,15979.96
BA,2919926,Madre de Deus,461447.44
BA,2919959,Maetinga,172175.65
BA,2920007,Maiquinique,21153.03
BA,2920106,Mairi,164551.18
BA,2920205,Malhada,27763.29
BA,2920304,Malhada de Pedras,38929.8
BA,2920403,Manoel Vitorino,41806.72
BA,2920452,Mansidão,4545.93
BA,2920502,Maracás,161391.93
BA,2920601,Maragogipe,1268701.42
BA,2920700,Maraú,3148059.12
BA,2920809,Marcionílio Souza,122687.09
BA,2920908,Mascote,63998.95
BA,2921005,Mata de São João,39093455.23
BA,2921054,Matina,6259.85
BA,2921104,Medeiros Neto,922458.3
BA,2921203,Miguel Calmon,342759.29
BA,2921302,Milagres,95457.06
BA,2921401,Mirangaba,34472.07
BA,2921450,Mirante,35996.69
BA,2921500,Monte Santo,359580.72
BA,2921609,Morpará,235319.57
BA,2921708,Morro do Chapéu,601630.59
BA,2921807,Mortugaba,62032.86
BA,2921906,Mucugê,408865.96
BA,2922003,Mucuri,1370373.79
BA,2922052,Mulungu do Morro,43185.61
BA,2922102,Mundo Novo,109755.76
BA,2922201,Muniz Ferreira,133858.32
BA,2922250,Muquém de São Francisco,70043.57
BA,2922300,Muritiba,935757.74
BA,2922409,Mutuípe,572724.42
BA,2922508,Nazaré,171973.93
BA,2922607,Nilo Peçanha,10935.06
BA,2922656,Nordestina,198183.03
BA,2922706,Nova Canaã,19490.92
BA,2922730,Nova Fátima,39375.74
BA,2922755,Nova Ibiá,16368.85
BA,2922805,Nova Itarana,102928.45
BA,2922854,Nova Redenção,39287.59
BA,2922904,Nova Soure,267495.53
BA,2923001,Nova Viçosa,2158093.53
BA,2923035,Novo Horizonte,63214.82
BA,2923050,Novo Triunfo,124178.24
BA,2923100,Olindina,159404.5
BA,2923209,Oliveira dos Brejinhos,111521.13
BA,2923308,Ouriçangas,53350.39
BA,2923357,Ourolândia,57195.33
BA,2923407,Palmas de Monte Alto,50878.01
BA,2923506,Palmeiras,79025.55
BA,2923605,Paramirim,88795.22
BA,2923704,Paratinga,447395.22
BA,2923803,Paripiranga,217157.85
BA,2923902,Pau Brasil,16002.75
BA,2924009,Paulo Afonso,5363348.68
BA,2924058,Pé de Serra,48428
BA,2924108,Pedrão,7094.37
BA,2924207,Pedro Alexandre,
BA,2924306,Piatã,32021.26
BA,2924405,Pilão Arcado,951512.26
BA,2924504,Pindaí,82629.71
BA,2924603,Pindobaçu,179902.17
BA,2924652,Pintadas,163400.54
BA,2924678,Piraí do Norte,48957.45
BA,2924702,Piripá,11622
BA,2924801,Piritiba,149606.87
BA,2924900,Planaltino,3760.75
BA,2925006,Planalto,121803.06
BA,2925105,Poções,1740039
BA,2925204,Pojuca,2186188.19
BA,2925253,Ponto Novo,70772.21
BA,2925303,Porto Seguro,43114895.64
BA,2925402,Potiraguá,19263.42
BA,2925501,Prado,2766935.03
BA,2925600,Presidente Dutra,114377.54
BA,2925709,Presidente Jânio Quadros,91262.33
BA,2925758,Presidente Tancredo Neves,291139.09
BA,2925808,Queimadas,167139.76
BA,2925907,Quijingue,110077.73
BA,2925931,Quixabeira,2156.74
BA,2925956,Rafael Jambeiro,118464.56
BA,2926004,Remanso,251841.12
BA,2926103,Retirolândia,90090.03
BA,2926202,Riachão das Neves,128552.79
BA,2926301,Riachão do Jacuípe,784488.33
BA,2926400,Riacho de Santana,369248.85
BA,2926509,Ribeira do Amparo,
BA,2926608,Ribeira do Pombal,796149.44
BA,2926657,Ribeirão do Largo,16014.56
BA,2926707,Rio de Contas,152768.25
BA,2926806,Rio do Antônio,74908.84
BA,2926905,Rio do Pires,39128.43
BA,2927002,Rio Real,411314.22
BA,2927101,Rodelas,86660.2
BA,2927200,Ruy Barbosa,274254.09
BA,2927309,Salinas da Margarida,394101.05
BA,2927408,Salvador,957986416.94
BA,2927507,Santa Bárbara,128935.45
BA,2927606,Santa Brígida,104339.99
BA,2927705,Santa Cruz Cabrália,6533737.57
BA,2927804,Santa Cruz da Vitória,49223.28
BA,2927903,Santa Inês,46946.72
BA,2928000,Santaluz,250050.78
BA,2928059,Santa Luzia,115272.14
BA,2928109,Santa Maria da Vitória,1003010.17
BA,2928208,Santana,411536.29
BA,2928307,Santanópolis,18288.49
BA,2928406,Santa Rita de Cássia,134276.82
BA,2928505,Santa Teresinha,24708.22
BA,2928604,Santo Amaro,2545527.61
BA,2928703,Santo Antônio de Jesus,14677198.91
BA,2928802,Santo Estêvão,1893025.84
BA,2928901,São Desidério,3261496.99
BA,2928950,São Domingos,54171.01
BA,2929008,São Félix,217022.33
BA,2929057,São Félix do Coribe,370336.14
BA,2929107,São Felipe,326895.05
BA,2929206,São Francisco do Conde,6824096.79
BA,2929255,São Gabriel,59693.15
BA,2929305,São Gonçalo dos Campos,1863282.81
BA,2929354,São José da Vitória,13882.63
BA,2929370,São José do Jacuípe,28300.46
BA,2929404,São Miguel das Matas,184060.57
BA,2929503,São Sebastião do Passé,1796824.58
BA,2929602,Sapeaçu,196314.82
BA,2929701,Sátiro Dias,56916.3
BA,2929750,Saubara,506533.9
BA,2929800,Saúde,121450.05
BA,2929909,Seabra,792533.38
BA,2930006,Sebastião Laranjeiras,35449.59
BA,2930105,Senhor do Bonfim,1975465.27
BA,2930154,Serra do Ramalho,629706.53
BA,2930204,Sento Sé,
BA,2930303,Serra Dourada,78766.48
BA,2930402,Serra Preta,98433.91
BA,2930501,Serrinha,2413174.93
BA,2930600,Serrolândia,193114.27
BA,2930709,Simões Filho,16496122.72
BA,2930758,Sítio do Mato,32589.38
BA,2930766,Sítio do Quinto,49610.81
BA,2930774,Sobradinho,668775.64
BA,2930808,Souto Soares,59428.68
BA,2930907,Tabocas do Brejo Velho,128962.76
BA,2931004,Tanhaçu,117486.92
BA,2931053,Tanque Novo,121435.72
BA,2931103,Tanquinho,33080.48
BA,2931202,Taperoá,60201.73
BA,2931301,Tapiramutá,96772.5
BA,2931350,Teixeira de Freitas,20256590.7
BA,2931400,Teodoro Sampaio,97938.62
BA,2931509,Teofilândia,421822.13
BA,2931608,Teolândia,3716.19
BA,2931707,Terra Nova,248637.25
BA,2931806,Tremedal,183983.06
BA,2931905,Tucano,1251960.29
BA,2932002,Uauá,135647.74
BA,2932101,Ubaíra,328349.29
BA,2932200,Ubaitaba,321386.76
BA,2932309,Ubatã,279145.13
BA,2932408,Uibaí,68045.17
BA,2932457,Umburanas,5122690.53
BA,2932507,Una,523429.94
BA,2932606,Urandi,424676.61
BA,2932705,Uruçuca,1807019.94
BA,2932804,Utinga,175723.34
BA,2932903,Valença,2252289.84
BA,2933000,Valente,250503.26
BA,2933059,Várzea da Roça,61734.9
BA,2933109,Várzea do Poço,138682.37
BA,2933158,Várzea Nova,150096.43
BA,2933174,Varzedo,38731.8
BA,2933208,Vera Cruz,5830753.14
BA,2933257,Vereda,15406.06
BA,2933307,Vitória da Conquista,45620078.02
BA,2933406,Wagner,39698.6
BA,2933455,Wanderley,63627.22
BA,2933505,Wenceslau Guimarães,44146.19
BA,2933604,Xique-Xique,1019023.22
BA,2999919,Trancoso,
BA,2999929,Barcellos,
BA,2999939,Olivença,
BA,2999949,Villa Verde,
CE,2300101,Abaiara,18561.69
CE,2300150,Acarapé,116689.07
CE,2300200,Acaraú,997154.18
CE,2300309,Acopiara,500238.95
CE,2300408,Aiuaba,19465.91
CE,2300507,Alcântaras,
CE,2300606,Altaneira,148997.83
CE,2300705,Alto Santo,52771.62
CE,2300754,Amontada,396603.14
CE,2300804,Antonina do Norte,34887.43
CE,2300903,Apuiarés,20340.57
CE,2301000,Aquiraz,42993245.45
CE,2301109,Aracati,5823927.94
CE,2301208,Aracoiaba,297254
CE,2301257,Ararendá,64281.85
CE,2301307,Araripe,50545.79
CE,2301406,Aratuba,15480.63
CE,2301505,Arneiroz,36343.31
CE,2301604,Assaré,194374.48
CE,2301703,Aurora,55889.78
CE,2301802,Baixio,51833.85
CE,2301851,Banabuiú,122657.59
CE,2301901,Barbalha,2009808.41
CE,2301950,Barreira,365071.21
CE,2302008,Barro,33609.86
CE,2302057,Barroquinha,4979.78
CE,2302107,Baturité,621524.86
CE,2302206,Beberibe,5167236.61
CE,2302305,Bela Cruz,232552.02
CE,2302404,Boa Viagem,922092.81
CE,2302503,Brejo Santo,189912.38
CE,2302602,Camocim,3541998.81
CE,2302701,Campos Sales,81110.57
CE,2302800,Canindé,2394563.56
CE,2302909,Capistrano,218133.88
CE,2303006,Caridade,11373.92
CE,2303105,Cariré,185927.8
CE,2303204,Caririaçu,21054.38
CE,2303303,Cariús,64913.74
CE,2303402,Carnaubal,93610.21
CE,2303501,Cascavel,4323657.64
CE,2303600,Catarina,124780.5
CE,2303659,Catunda,121460.24
CE,2303709,Caucaia,22120614.02
CE,2303808,Cedro,241690.88
CE,2303907,Chaval,54.22
CE,2303931,Choró,30007.9
CE,2303956,Chorozinho,204017.23
CE,2304004,Coreaú,18281.87
CE,2304103,Crateús,3686562.07
CE,2304202,Crato,6019479.78
CE,2304236,Croatá,166171.36
CE,2304251,Cruz,237545.85
CE,2304269,Deputado Irapuan Pinheiro,107837.41
CE,2304277,Ererê,16184
CE,2304285,Eusébio,49973169.77
CE,2304301,Farias Brito,92666.82
CE,2304350,Forquilha,268145.51
CE,2304400,Fortaleza,729631669.15
CE,2304459,Fortim,3351529.82
CE,2304509,Frecheirinha,21272.54
CE,2304608,General Sampaio,15951.8
CE,2304657,Graça,4330.57
CE,2304707,Granja,450569.14
CE,2304806,Granjeiro,807
CE,2304905,Groaíras,60724.64
CE,2304954,Guaiúba,36672.45
CE,2305001,Guaraciaba do Norte,1223286.42
CE,2305100,Guaramiranga,1285987.41
CE,2305209,Hidrolândia,240348.5
CE,2305233,Horizonte,4914683.04
CE,2305266,Ibaretama,14583.03
CE,2305308,Ibiapina,104385.59
CE,2305332,Ibicuitinga,83422.11
CE,2305357,Icapuí,127587.9
CE,2305407,Icó,682660.57
CE,2305506,Iguatu,5838928.06
CE,2305605,Independência,310952.54
CE,2305654,Ipaporanga,96102.55
CE,2305704,Ipaumirim,86231.33
CE,2305803,Ipu,174893.4
CE,2305902,Ipueiras,303495.94
CE,2306009,Iracema,223229.75
CE,2306108,Irauçuba,64933.71
CE,2306207,Itaiçaba,40743.4
CE,2306256,Itaitinga,3013646.52
CE,2306306,Itapagé,367942.63
CE,2306405,Itapipoca,3762557.22
CE,2306504,Itapiúna,48051.31
CE,2306553,Itarema,498672.77
CE,2306603,Itatira,12465.94
CE,2306702,Jaguaretama,158595.29
CE,2306801,Jaguaribara,171002.7
CE,2306900,Jaguaribe,1133475.39
CE,2307007,Jaguaruana,181411.2
CE,2307106,Jardim,184571.91
CE,2307205,Jati,29912.14
CE,2307254,Jijoca de Jericoacoara,1237572.08
CE,2307304,Juazeiro do Norte,25610385.33
CE,2307403,Jucás,314280.48
CE,2307502,Lavras da Mangabeira,67129.98
CE,2307601,Limoeiro do Norte,645023.41
CE,2307635,Madalena,321303.58
CE,2307650,Maracanaú,25231286.67
CE,2307700,Maranguape,3175260.26
CE,2307809,Marco,437728.31
CE,2307908,Martinópole,16048.55
CE,2308005,Massapê,116710.06
